Site Occupation Location,SubOc1,New Comp,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
41,A,507,TF,4,-100,200,300,6.2,310
41,A,510,TF,4,-100,200,300,2.3,115
41,A,,TF,4,-100,200,300,0.2,10
41,A,507,EC,5,200,300,100,6.5,325
41,A,510,EC,5,200,300,100,2.3,115
41,A,,EC,5,200,300,100,0.2,10
41,A,507,MC,6,300,450,150,6.5,325
41,A,510,MC,6,300,450,150,2.3,115
41,A,,MC,6,300,450,150,0.2,10
41,A,507,LC,7,450,600,150,2.4,120
41,A,510,LC,7,450,600,150,1.7,85
41,A,,LC,7,450,600,150,0.1,5
41,A,579,Epi,8,600,850,250,7.1,355
41,A,582,Epi,8,600,850,250,2,100
41,A,580,EPC,9,850,1150,300,8,400
41,A,581,EPC,9,850,1150,300,3.1,155
41,A,,EPC,9,850,1150,300,6.4,320
41,A,506,P,10,1150,1300,150,5.7,285
41,A,,P,10,1150,1300,150,2.8,140
41,A,583,A,11,1300,1440,140,18.4,920
41,A,584,A,11,1300,1440,140,1.1,55
41,A,595,M,12,1440,1520,80,66.9,3345
42,A,,EC,5,200,300,100,5.6,280
42,A,,MC,6,300,450,150,5.6,280
42,A,,LC,7,450,600,150,5.6,280
42,A,,Epi,8,600,850,250,6.3,315
42,A,,EPC,9,850,1150,300,0.6,30
43,A,,MF,2,-1100,-500,600,0.4,20
43,A,,LF,3,-500,-100,400,0.4,20
44,A,,MF,2,-1100,-500,600,0.2,10
44,A,,LF,3,-500,-100,400,0.2,10
44,B,,P,10,1150,1300,150,0.2,10
45,A,,EC,5,200,300,100,0.1,5
45,A,,MC,6,300,450,150,0.1,5
45,A,,LC,7,450,600,150,0.1,5
45,B,,M,12,1440,1520,80,0.1,5
47,A,,TF,4,-100,200,300,0.2,10
47,A,,EC,5,200,300,100,0.2,10
47,A,,MC,6,300,450,150,0.2,10
48,A,,MF,2,-1100,-500,600,0.1,5
48,A,,LF,3,-500,-100,400,0.1,5
49,A,,MF,2,-1100,-500,600,0.5,25
49,B,,TF,4,-100,200,300,0.5,25
49,B,,EC,5,200,300,100,0.5,25
49,B,,MC,6,300,450,150,0.5,25
49,B,,LC,7,450,600,150,0.4,20
50,A,,TF,4,-100,200,300,0.6,30
50,A,,EC,5,200,300,100,0.6,30
50,A,,MC,6,300,450,150,0.6,30
50,A,,LC,7,450,600,150,0.4,20
50,A,,Epi,8,600,850,250,0.3,15
50,A,,EPC,9,850,1150,300,0.6,30
50,A,,P,10,1150,1300,150,0.1,5
51,A,,EC,5,200,300,100,0.3,15
51,A,,MC,6,300,450,150,0.3,15
51,A,,LC,7,450,600,150,0.3,15
51,A,,Epi,8,600,850,250,0.3,15
51,A,,EPC,9,850,1150,300,0.1,5
52,A,,TF,4,-100,200,300,0.1,5
52,A,,EC,5,200,300,100,0.1,5
52,A,,MC,6,300,450,150,0.1,5
52,B,,Epi,8,600,850,250,0.3,15
52,B,,EPC,9,850,1150,300,0.3,15
53,A,,Epi,8,600,850,250,0.7,35
53,A,,EPC,9,850,1150,300,0.7,35
53,A,,P,10,1150,1300,150,0.3,15
54,A,,EC,5,200,300,100,0.3,15
54,A,,MC,6,300,450,150,0.3,15
54,B,,Epi,8,600,850,250,0.3,15
54,B,,EPC,9,850,1150,300,0.3,15
55,A,,EPC,9,850,1150,300,0.1,5
56,A,,TF,4,-100,200,300,0.2,10
56,A,,EC,5,200,300,100,0.2,10
56,A,,MC,6,300,450,150,0.2,10
56,A,,LC,7,450,600,150,0.2,10
56,B,,EPC,9,850,1150,300,0.3,15
57,A,,EPC,9,850,1150,300,0.5,25
58,A,,MF,2,-1100,-500,600,0.6,30
58,A,,LF,3,-500,-100,400,0.6,30
58,B,,EC,5,200,300,100,0.4,20
58,B,,MC,6,300,450,150,0.4,20
58,B,,LC,7,450,600,150,0.4,20
58,B,,Epi,8,600,850,250,0.5,25
58,B,,EPC,9,850,1150,300,1.1,55
59,A,,EPC,9,850,1150,300,0.1,5
59,A,,P,10,1150,1300,150,0.1,5
59,A,,A,11,1300,1440,140,0.3,15
59,A,,M,12,1440,1520,80,0.3,15
61,A,,TF,4,-100,200,300,0.6,30
61,A,,EC,5,200,300,100,0.6,30
61,A,,MC,6,300,450,150,0.6,30
62,A,,M,12,1440,1520,80,0.5,25
63,A,,TF,4,-100,200,300,1,50
63,A,,EC,5,200,300,100,1,50
63,A,,MC,6,300,450,150,1,50
63,A,,LC,7,450,600,150,1,50
63,B,,M,12,1440,1520,80,1,50
64,A,,TF,4,-100,200,300,0.1,5
64,A,,EC,5,200,300,100,0.1,5
64,A,,MC,6,300,450,150,0.1,5
64,A,,LC,7,450,600,150,0.1,5
64,B,,M,12,1440,1520,80,0.1,5
65,A,,TF,4,-100,200,300,0.1,5
65,A,,EC,5,200,300,100,0.1,5
65,A,,MC,6,300,450,150,0.1,5
65,A,,LC,7,450,600,150,0.1,5
67,A,,LF,3,-500,-100,400,0.3,15
68,A,,LF,3,-500,-100,400,0.3,15
68,B,,EC,5,200,300,100,0.1,5
68,B,,MC,6,300,450,150,0.1,5
70,A,,A,11,1300,1440,140,0.3,15
70,A,,M,12,1440,1520,80,0.3,15
71,A,,Epi,8,600,850,250,1,50
71,B,,A,11,1300,1440,140,1,50
71,B,,M,12,1440,1520,80,1,50
73,A,,TF,4,-100,200,300,0.1,5
73,A,,EC,5,200,300,100,0.1,5
73,A,,MC,6,300,450,150,0.1,5
73,A,,LC,7,450,600,150,0.1,5
74,A,,TF,4,-100,200,300,0.1,5
74,A,,EC,5,200,300,100,0.1,5
74,A,,MC,6,300,450,150,0.1,5
74,A,,LC,7,450,600,150,0.1,5
75,A,,EC,5,200,300,100,0.1,5
75,A,,MC,6,300,450,150,0.1,5
75,A,,LC,7,450,600,150,0.1,5
76,A,,TF,4,-100,200,300,0.3,15
76,A,,EC,5,200,300,100,0.3,15
76,A,,MC,6,300,450,150,0.3,15
76,A,,LC,7,450,600,150,0.3,15
77,A,,TF,4,-100,200,300,0.3,15
77,A,,EC,5,200,300,100,0.7,35
77,A,,MC,6,300,450,150,0.7,35
77,A,,LC,7,450,600,150,0.3,15
77,B,,EPC,9,850,1150,300,0.3,15
77,C,,M,12,1440,1520,80,0.7,35
78,A,,EPC,9,850,1150,300,0.3,15
78,A,,P,10,1150,1300,150,0.4,20
78,A,,A,11,1300,1440,140,0.4,20
78,A,,M,12,1440,1520,80,0.4,20
80,A,,MF,2,-1100,-500,600,0.1,5
80,A,,LF,3,-500,-100,400,0.1,5
80,B,,EPC,9,850,1150,300,1,50
