Site Occupation Location,SubOc1,New Comp,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
148,A,,TF,4,-100,200,300,3.3,165
148,A,,EC,5,200,300,100,11,550
148,A,,MC,6,300,450,150,11,550
148,A,906,LC,7,450,600,150,0.9,45
148,A,,LC,7,450,600,150,1.2,60
148,A,,Epi,8,600,850,250,6.8,340
148,A,,EPC,9,850,1150,300,13,650
148,A,,P,10,1150,1300,150,3.8,190
148,A,,A,11,1300,1440,140,2,100
148,A,,M,12,1440,1520,80,12,600
149,A,,LF,3,-500,-100,400,0.3,15
149,A,,TF,4,-100,200,300,1.4,70
149,A,,EC,5,200,300,100,2.1,105
149,A,,MC,6,300,450,150,2.1,105
149,A,,LC,7,450,600,150,0.1,5
149,A,,Epi,8,600,850,250,0.2,10
149,A,,EPC,9,850,1150,300,0.2,10
151,A,907,TF,4,-100,200,300,5.6,280
151,A,908,TF,4,-100,200,300,0.6,30
151,A,,TF,4,-100,200,300,6.7,335
151,A,,EC,5,200,300,100,80.4,4020
151,A,,MC,6,300,450,150,78.8,3940
151,A,909,LC,7,450,600,150,2.6,130
151,A,910,LC,7,450,600,150,1.5,75
151,A,911,LC,7,450,600,150,0.2,10
151,A,,LC,7,450,600,150,4,200
151,A,,Epi,8,600,850,250,0,0
151,B,880,A,11,1300,1440,140,0.1,5
151,B,881,A,11,1300,1440,140,0.1,5
151,B,,A,11,1300,1440,140,0.3,15
151,B,879,M,12,1440,1520,80,0.4,20
151,B,,M,12,1440,1520,80,0.4,20
152,A,,EC,5,200,300,100,0.2,10
152,A,,MC,6,300,450,150,0.2,10
152,B,,Epi,8,600,850,250,0.1,5
152,C,,A,11,1300,1440,140,0.1,5
152,C,,M,12,1440,1520,80,0.1,5
153,A,,LF,3,-500,-100,400,0.1,5
153,B,,EC,5,200,300,100,0.1,5
153,B,,MC,6,300,450,150,0.1,5
154,A,,TF,4,-100,200,300,0.1,5
154,A,,EC,5,200,300,100,0.1,5
154,A,,MC,6,300,450,150,0.1,5
154,A,,LC,7,450,600,150,0.1,5
154,B,,P,10,1150,1300,150,0.1,5
155,A,,LF,3,-500,-100,400,0.1,5
155,B,,A,11,1300,1440,140,0.1,5
155,B,,M,12,1440,1520,80,0.1,5
156,A,,A,11,1300,1440,140,0.3,15
156,A,,M,12,1440,1520,80,0.3,15
157,A,,TF,4,-100,200,300,0.1,5
157,A,,EC,5,200,300,100,0.1,5
157,A,,MC,6,300,450,150,0.1,5
158,A,,M,12,1440,1520,80,0.1,5
159,A,,LF,3,-500,-100,400,0.4,20
160,A,,LF,3,-500,-100,400,5.8,290
160,A,747,TF,4,-100,200,300,2.6,130
160,A,749,TF,4,-100,200,300,0.1,5
160,A,750,TF,4,-100,200,300,5.9,295
160,A,751,TF,4,-100,200,300,1.2,60
160,A,752,TF,4,-100,200,300,0.8,40
160,A,755,TF,4,-100,200,300,0.6,30
160,A,,TF,4,-100,200,300,5.8,290
160,A,747,EC,5,200,300,100,3.1,155
160,A,749,EC,5,200,300,100,0.1,5
160,A,750,EC,5,200,300,100,7.3,365
160,A,751,EC,5,200,300,100,4.8,240
160,A,752,EC,5,200,300,100,1.8,90
160,A,753,EC,5,200,300,100,1.6,80
160,A,755,EC,5,200,300,100,0.8,40
160,A,,EC,5,200,300,100,9.8,490
160,A,747,MC,6,300,450,150,3.5,175
160,A,749,MC,6,300,450,150,0.1,5
160,A,750,MC,6,300,450,150,7.3,365
160,A,751,MC,6,300,450,150,5.2,260
160,A,752,MC,6,300,450,150,1.8,90
160,A,753,MC,6,300,450,150,2.3,115
160,A,755,MC,6,300,450,150,0.8,40
160,A,,MC,6,300,450,150,9.8,490
160,A,750,LC,7,450,600,150,2.6,130
160,A,751,LC,7,450,600,150,3.2,160
160,A,752,LC,7,450,600,150,0.8,40
160,A,753,LC,7,450,600,150,1.7,85
160,A,755,LC,7,450,600,150,0.6,30
160,A,,LC,7,450,600,150,2,100
160,A,743,Epi,8,600,850,250,1.7,85
160,A,744,Epi,8,600,850,250,0.1,5
160,A,745,Epi,8,600,850,250,0.3,15
160,A,746,Epi,8,600,850,250,1.8,90
160,A,,Epi,8,600,850,250,6.2,310
160,A,527,EPC,9,850,1150,300,0.3,15
160,A,528,EPC,9,850,1150,300,0.2,10
160,A,529,EPC,9,850,1150,300,0.2,10
160,A,739,EPC,9,850,1150,300,3.6,180
160,A,740,EPC,9,850,1150,300,0.1,5
160,A,741,EPC,9,850,1150,300,0.1,5
160,A,742,EPC,9,850,1150,300,11,550
160,A,763,EPC,9,850,1150,300,0.1,5
160,A,,EPC,9,850,1150,300,6.2,310
160,A,523,P,10,1150,1300,150,2.6,130
160,A,524,P,10,1150,1300,150,0.3,15
160,A,525,P,10,1150,1300,150,0.8,40
160,A,526,P,10,1150,1300,150,0.1,5
160,A,529,P,10,1150,1300,150,0.1,5
160,A,,P,10,1150,1300,150,30.9,1545
160,A,764,A,11,1300,1440,140,13,650
160,A,,A,11,1300,1440,140,84.3,4215
160,A,884,M,12,1440,1520,80,37.4,1870
160,A,,M,12,1440,1520,80,102.8,5140
161,A,,LF,3,-500,-100,400,0.3,15
162,A,772,P,10,1150,1300,150,0.1,5
163,A,,MF,2,-1100,-500,600,0.2,10
163,A,,LF,3,-500,-100,400,0.2,10
163,B,,EC,5,200,300,100,16,800
163,B,,MC,6,300,450,150,15.1,755
163,B,,LC,7,450,600,150,1.8,90
163,B,774,Epi,8,600,850,250,1,50
163,B,,Epi,8,600,850,250,0,0
163,B,773,EPC,9,850,1150,300,0.1,5
163,B,,EPC,9,850,1150,300,22.1,1105
163,B,771,P,10,1150,1300,150,0.2,10
163,B,,P,10,1150,1300,150,0.2,10
163,B,,A,11,1300,1440,140,0.2,10
163,B,,M,12,1440,1520,80,2.2,110
164,A,,MF,2,-1100,-500,600,2.4,120
164,A,,LF,3,-500,-100,400,18.1,905
164,A,530,TF,4,-100,200,300,5.9,295
164,A,801,TF,4,-100,200,300,1.9,95
164,A,802,TF,4,-100,200,300,0.4,20
164,A,811,TF,4,-100,200,300,0.4,20
164,A,812,TF,4,-100,200,300,2.5,125
164,A,821,TF,4,-100,200,300,0.9,45
164,A,865,TF,4,-100,200,300,0.9,45
164,A,918,TF,4,-100,200,300,1,50
164,A,919,TF,4,-100,200,300,2.2,110
164,A,920,TF,4,-100,200,300,2.4,120
164,A,921,TF,4,-100,200,300,1.9,95
164,A,922,TF,4,-100,200,300,0.4,20
164,A,,TF,4,-100,200,300,22.2,1110
164,A,530,EC,5,200,300,100,31.7,1585
164,A,800,EC,5,200,300,100,0.9,45
164,A,801,EC,5,200,300,100,1.9,95
164,A,802,EC,5,200,300,100,0.4,20
164,A,804,EC,5,200,300,100,1.3,65
164,A,807,EC,5,200,300,100,0.6,30
164,A,808,EC,5,200,300,100,4.7,235
164,A,809,EC,5,200,300,100,0.4,20
164,A,812,EC,5,200,300,100,3,150
164,A,814,EC,5,200,300,100,0.3,15
164,A,821,EC,5,200,300,100,1.1,55
164,A,865,EC,5,200,300,100,0.9,45
164,A,919,EC,5,200,300,100,2.2,110
164,A,920,EC,5,200,300,100,6.7,335
164,A,923,EC,5,200,300,100,0.1,5
164,A,,EC,5,200,300,100,23.4,1170
164,A,530,MC,6,300,450,150,4.5,225
164,A,800,MC,6,300,450,150,0.9,45
164,A,801,MC,6,300,450,150,1.4,70
164,A,802,MC,6,300,450,150,0.4,20
164,A,804,MC,6,300,450,150,2.3,115
164,A,807,MC,6,300,450,150,0.6,30
164,A,808,MC,6,300,450,150,10.5,525
164,A,812,MC,6,300,450,150,1.6,80
164,A,821,MC,6,300,450,150,1.9,95
164,A,865,MC,6,300,450,150,0.9,45
164,A,920,MC,6,300,450,150,6.7,335
164,A,923,MC,6,300,450,150,0.1,5
164,A,,MC,6,300,450,150,19.4,970
164,A,530,LC,7,450,600,150,1.5,75
164,A,801,LC,7,450,600,150,0.5,25
164,A,808,LC,7,450,600,150,2.5,125
164,A,818,LC,7,450,600,150,0.6,30
164,A,821,LC,7,450,600,150,0.3,15
164,A,920,LC,7,450,600,150,2.4,120
164,A,,LC,7,450,600,150,5.4,270
164,A,741,Epi,8,600,850,250,0.1,5
164,A,788,Epi,8,600,850,250,1.1,55
164,A,789,Epi,8,600,850,250,0.4,20
164,A,790,Epi,8,600,850,250,5.5,275
164,A,792,Epi,8,600,850,250,0.6,30
164,A,793,Epi,8,600,850,250,3,150
164,A,794,Epi,8,600,850,250,1.3,65
164,A,795,Epi,8,600,850,250,0.4,20
164,A,796,Epi,8,600,850,250,0.6,30
164,A,797,Epi,8,600,850,250,1.2,60
164,A,798,Epi,8,600,850,250,1.3,65
164,A,851,Epi,8,600,850,250,0.2,10
164,A,,Epi,8,600,850,250,25.6,1280
164,A,530,EPC,9,850,1150,300,0.3,15
164,A,568,EPC,9,850,1150,300,16.9,845
164,A,569,EPC,9,850,1150,300,0.9,45
164,A,570,EPC,9,850,1150,300,0.4,20
164,A,571,EPC,9,850,1150,300,0.5,25
164,A,572,EPC,9,850,1150,300,0.2,10
164,A,782,EPC,9,850,1150,300,2.5,125
164,A,783,EPC,9,850,1150,300,0.2,10
164,A,784,EPC,9,850,1150,300,2.3,115
164,A,785,EPC,9,850,1150,300,8.7,435
164,A,786,EPC,9,850,1150,300,0.9,45
164,A,787,EPC,9,850,1150,300,5.9,295
164,A,850,EPC,9,850,1150,300,1.1,55
164,A,,EPC,9,850,1150,300,25.6,1280
164,A,,EPC,9,850,1150,300,0.5,25
164,A,555,P,10,1150,1300,150,0.5,25
164,A,556,P,10,1150,1300,150,0.1,5
164,A,557,P,10,1150,1300,150,0.2,10
164,A,558,P,10,1150,1300,150,0.8,40
164,A,559,P,10,1150,1300,150,1.1,55
164,A,560,P,10,1150,1300,150,3.8,190
164,A,,P,10,1150,1300,150,33.4,1670
164,A,548,A,11,1300,1440,140,1.4,70
164,A,549,A,11,1300,1440,140,2.8,140
164,A,550,A,11,1300,1440,140,1,50
164,A,551,A,11,1300,1440,140,2.4,120
164,A,552,A,11,1300,1440,140,1.9,95
164,A,553,A,11,1300,1440,140,6.9,345
164,A,554,A,11,1300,1440,140,1.7,85
164,A,,A,11,1300,1440,140,9.8,490
164,A,539,M,12,1440,1520,80,1.7,85
164,A,540,M,12,1440,1520,80,1,50
164,A,541,M,12,1440,1520,80,1.7,85
164,A,542,M,12,1440,1520,80,1,50
164,A,543,M,12,1440,1520,80,0.2,10
164,A,544,M,12,1440,1520,80,1.2,60
164,A,545,M,12,1440,1520,80,1.2,60
164,A,546,M,12,1440,1520,80,0.2,10
164,A,547,M,12,1440,1520,80,6,300
164,A,849,M,12,1440,1520,80,1.9,95
164,A,,M,12,1440,1520,80,2.4,120
165,A,,LF,3,-500,-100,400,0.5,25
165,A,,TF,4,-100,200,300,0.2,10
165,A,,EC,5,200,300,100,0.9,45
165,A,,MC,6,300,450,150,0.9,45
165,B,,P,10,1150,1300,150,2.9,145
165,B,,A,11,1300,1440,140,2.9,145
165,B,,M,12,1440,1520,80,2.9,145
166,A,,TF,4,-100,200,300,0.7,35
166,A,,EC,5,200,300,100,0.1,5
166,A,,MC,6,300,450,150,0.1,5
166,B,,EPC,9,850,1150,300,0.1,5
168,A,,LF,3,-500,-100,400,0.9,45
168,B,,EC,5,200,300,100,4.1,205
168,B,,MC,6,300,450,150,4.1,205
168,C,,EPC,9,850,1150,300,2,100
169,A,,LF,3,-500,-100,400,0.5,25
169,B,,Epi,8,600,850,250,0.5,25
170,A,,EC,5,200,300,100,0.1,5
170,A,,MC,6,300,450,150,0.1,5
171,A,,EC,5,200,300,100,0.2,10
171,A,,MC,6,300,450,150,0.2,10
171,B,,A,11,1300,1440,140,0.4,20
171,B,,M,12,1440,1520,80,0.7,35
172,A,,A,11,1300,1440,140,1.4,70
172,A,,M,12,1440,1520,80,1.4,70
173,A,,P,10,1150,1300,150,0.1,5
173,A,,A,11,1300,1440,140,0.1,5
173,A,,M,12,1440,1520,80,0.3,15
174,A,,P,10,1150,1300,150,0.4,20
174,A,,A,11,1300,1440,140,0.4,20
174,A,,M,12,1440,1520,80,0.4,20
175,A,,A,11,1300,1440,140,0.2,10
175,A,,M,12,1440,1520,80,0.2,10
176,A,,EC,5,200,300,100,0.1,5
176,A,,MC,6,300,450,150,0.1,5
176,B,,A,11,1300,1440,140,0.4,20
176,B,,M,12,1440,1520,80,0.4,20
177,A,,LF,3,-500,-100,400,1,50
177,A,,TF,4,-100,200,300,0.2,10
177,B,,MC,6,300,450,150,0.6,30
177,B,,LC,7,450,600,150,0.9,45
177,B,,Epi,8,600,850,250,1,50
177,C,,P,10,1150,1300,150,0.8,40
177,D,,M,12,1440,1520,80,0.3,15
178,A,,LF,3,-500,-100,400,0.9,45
178,A,,TF,4,-100,200,300,4.3,215
178,A,,EC,5,200,300,100,2.2,110
178,B,,LC,7,450,600,150,2.5,125
178,C,,EPC,9,850,1150,300,0.9,45
179,A,,P,10,1150,1300,150,0.2,10
179,B,,M,12,1440,1520,80,0.1,5
180,A,,LF,3,-500,-100,400,0.1,5
180,B,,LC,7,450,600,150,0.1,5
181,A,,TF,4,-100,200,300,0.1,5
181,A,,EC,5,200,300,100,0.1,5
181,B,,EPC,9,850,1150,300,0.1,5
182,A,,A/M,12,1300,1520,220,0.4,20
183,A,,A,11,1300,1440,140,0.2,10
183,A,,M,12,1440,1520,80,0.2,10
184,A,,Epi,8,600,850,250,0.2,10
184,A,,EPC,9,850,1150,300,0.2,10
185,A,,Epi,8,600,850,250,2.5,125
185,A,,EPC,9,850,1150,300,0.9,45
185,A,,P,10,1150,1300,150,2.5,125
185,A,,A,11,1300,1440,140,0.8,40
185,A,,M,12,1440,1520,80,0.8,40
186,A,,A/M,12,1300,1520,220,0.1,5
187,A,,A,11,1300,1440,140,0.1,5
187,A,,M,12,1440,1520,80,0.1,5
188,A,,MF,2,-1100,-500,600,0.3,15
188,A,,LF,3,-500,-100,400,0.3,15
188,B,,P,10,1150,1300,150,0.3,15
189,A,,Epi,8,600,850,250,10.1,505
189,B,,A,11,1300,1440,140,0.6,30
189,B,,M,12,1440,1520,80,2.8,140
190,A,,EPC,9,850,1150,300,0.1,5
190,A,,P,10,1150,1300,150,0.1,5
190,A,,A,11,1300,1440,140,0.2,10
190,A,,M,12,1440,1520,80,0.2,10
191,A,,A,11,1300,1440,140,0.1,5
191,A,,M,12,1440,1520,80,0.1,5
192,A,,LF,3,-500,-100,400,0.2,10
192,A,,TF,4,-100,200,300,0.2,10
192,A,,EC,5,200,300,100,0.2,10
192,A,,MC,6,300,450,150,0.1,5
192,A,,LC,7,450,600,150,0.2,10
193,A,,EC,5,200,300,100,5.4,270
193,B,,LC,7,450,600,150,1.3,65
193,B,,Epi,8,600,850,250,5.5,275
193,B,,EPC,9,850,1150,300,0.6,30
193,B,727,P,10,1150,1300,150,2.8,140
193,B,,P,10,1150,1300,150,5.5,275
193,B,726,A,11,1300,1440,140,4.3,215
193,B,,A,11,1300,1440,140,5.5,275
193,B,,M,12,1440,1520,80,14.2,710
194,A,,LF,3,-500,-100,400,0.4,20
194,B,,EC,5,200,300,100,0.4,20
194,B,,MC,6,300,450,150,0.4,20
194,B,,LC,7,450,600,150,0.1,5
195,A,,LF,3,-500,-100,400,0.5,25
195,A,,TF,4,-100,200,300,0.5,25
195,A,,EC,5,200,300,100,0.5,25
195,A,,MC,6,300,450,150,0.5,25
195,B,,EPC,9,850,1150,300,0.1,5
195,C,,M,12,1440,1520,80,0.5,25
196,A,,LF,3,-500,-100,400,4.1,205
196,A,,TF,4,-100,200,300,7.6,380
196,A,,EC,5,200,300,100,16.8,840
196,A,,MC,6,300,450,150,16.8,840
196,A,912,LC,7,450,600,150,2.1,105
196,A,,LC,7,450,600,150,3.5,175
196,B,,EPC,9,850,1150,300,1.2,60
196,B,,P,10,1150,1300,150,1.2,60
197,A,,P,10,1150,1300,150,0.1,5
197,A,,A,11,1300,1440,140,0.1,5
197,A,,M,12,1440,1520,80,0.1,5
198,A,,MF,2,-1100,-500,600,1.1,55
198,A,,LF,3,-500,-100,400,1.5,75
198,A,,TF,4,-100,200,300,1.5,75
198,A,,EC,5,200,300,100,1.5,75
198,A,,MC,6,300,450,150,1.5,75
198,B,,EPC,9,850,1150,300,1.1,55
198,B,,P,10,1150,1300,150,1.1,55
198,C,,M,12,1440,1520,80,1.1,55
199,A,,LF,3,-500,-100,400,0.3,15
199,B,,EPC,9,850,1150,300,0.7,35
199,C,,A,11,1300,1440,140,0.3,15
199,C,,M,12,1440,1520,80,0.7,35
200,A,,LF,3,-500,-100,400,0.1,5
200,B,,Epi,8,600,850,250,0.1,5
200,B,,EPC,9,850,1150,300,0.1,5
200,B,,P,10,1150,1300,150,25.6,1280
200,B,,A,11,1300,1440,140,30.3,1515
200,B,855,M,12,1440,1520,80,0.1,5
200,B,,M,12,1440,1520,80,122.5,6125
201,A,,Epi,8,600,850,250,0.1,5
201,A,,EPC,9,850,1150,300,7.6,380
201,A,,P,10,1150,1300,150,0.9,45
201,A,,A,11,1300,1440,140,0.1,5
201,A,,M,12,1440,1520,80,2.7,135
202,A,,Epi,8,600,850,250,0.1,5
202,A,,EPC,9,850,1150,300,1.9,95
202,A,,P,10,1150,1300,150,0.1,5
202,A,,A,11,1300,1440,140,5.5,275
202,A,,M,12,1440,1520,80,0.9,45
203,A,,Epi,8,600,850,250,0.1,5
203,A,,EPC,9,850,1150,300,0.1,5
203,A,,P,10,1150,1300,150,0.1,5
203,A,,A,11,1300,1440,140,24.5,1225
203,A,,M,12,1440,1520,80,2.1,105
204,A,,Epi,8,600,850,250,0.1,5
204,A,,EPC,9,850,1150,300,0.1,5
204,A,,P,10,1150,1300,150,0.1,5
204,A,,A,11,1300,1440,140,0.1,5
204,A,,M,12,1440,1520,80,0.1,5
205,A,,EPC,9,850,1150,300,0.1,5
205,A,,P,10,1150,1300,150,0.1,5
205,A,,A,11,1300,1440,140,0.1,5
205,A,,M,12,1440,1520,80,0.1,5
206,A,,EPC,9,850,1150,300,0.6,30
206,A,,P,10,1150,1300,150,0.1,5
206,A,,A,11,1300,1440,140,0.1,5
206,A,,M,12,1440,1520,80,0.1,5
207,A,,EPC,9,850,1150,300,0.1,5
207,A,,P,10,1150,1300,150,0.1,5
207,A,,A,11,1300,1440,140,0.1,5
207,A,,M,12,1440,1520,80,0.1,5
208,A,1403,P,10,1150,1300,150,0.1,5
208,B,1403,M,12,1440,1520,80,0.1,5
209,A,,M,12,1440,1520,80,0.1,5
211,A,,MF,2,-1100,-500,600,0.6,30
211,A,,LF,3,-500,-100,400,0.6,30
211,A,,TF,4,-100,200,300,0.6,30
211,A,,EC,5,200,300,100,0.6,30
211,A,,MC,6,300,450,150,0.6,30
211,A,,LC,7,450,600,150,0.6,30
211,B,,EPC,9,850,1150,300,0.6,30
211,C,,M,12,1440,1520,80,0.6,30
212,A,,LF,3,-500,-100,400,0.3,15
212,B,,EC,5,200,300,100,0.4,20
212,B,,MC,6,300,450,150,0.8,40
212,C,,Epi,8,600,850,250,0.2,10
212,D,,A,11,1300,1440,140,0.2,10
212,D,,M,12,1440,1520,80,0.5,25
213,A,,A,11,1300,1440,140,0.8,40
213,A,,M,12,1440,1520,80,1.3,65
214,A,,EC,5,200,300,100,0.2,10
214,A,,MC,6,300,450,150,0.2,10
214,A,,LC,7,450,600,150,0.1,5
215,A,,A,11,1300,1440,140,0.1,5
215,A,,M,12,1440,1520,80,0.1,5
216,A,,A,11,1300,1440,140,0.2,10
216,A,,M,12,1440,1520,80,0.2,10
218,A,,EC,5,200,300,100,0.4,20
218,A,,MC,6,300,450,150,0.4,20
218,B,,P,10,1150,1300,150,0.3,15
218,B,,A,11,1300,1440,140,0.3,15
218,B,,M,12,1440,1520,80,0.7,35
219,A,,EC,5,200,300,100,6,300
219,A,,MC,6,300,450,150,6,300
219,A,,LC,7,450,600,150,0.9,45
219,B,,P,10,1150,1300,150,1,50
219,B,,A,11,1300,1440,140,5.8,290
219,B,,M,12,1440,1520,80,5.8,290
220,A,,LF,3,-500,-100,400,0.1,5
220,B,,EC,5,200,300,100,0.2,10
220,B,,MC,6,300,450,150,0.2,10
220,C,,EPC,9,850,1150,300,0.2,10
220,D,,A,11,1300,1440,140,0.3,15
220,D,,M,12,1440,1520,80,0.3,15
221,A,,MF,2,-1100,-500,600,1.1,55
221,A,,LF,3,-500,-100,400,2.8,140
221,B,,EC,5,200,300,100,2.5,125
221,B,,MC,6,300,450,150,2.5,125
221,C,,Epi,8,600,850,250,2.8,140
221,C,,EPC,9,850,1150,300,4.5,225
221,D,,A,11,1300,1440,140,2.8,140
221,D,,M,12,1440,1520,80,2.8,140
222,A,,EPC,9,850,1150,300,0.6,30
223,A,,MF,2,-1100,-500,600,0.9,45
223,A,,LF,3,-500,-100,400,0.9,45
223,B,,EC,5,200,300,100,1.8,90
223,B,,MC,6,300,450,150,1.8,90
223,C,,EPC,9,850,1150,300,1.8,90
223,D,,A,11,1300,1440,140,0.9,45
223,D,,M,12,1440,1520,80,1.8,90
224,A,,LF,3,-500,-100,400,0.5,25
224,A,,TF,4,-100,200,300,2,100
224,A,,EC,5,200,300,100,9.9,495
224,A,,MC,6,300,450,150,9.9,495
224,B,,EPC,9,850,1150,300,4,200
224,B,,P,10,1150,1300,150,3.4,170
224,B,,A,11,1300,1440,140,10.6,530
224,B,,M,12,1440,1520,80,11.6,580
225,A,,MF,2,-1100,-500,600,0.1,5
225,B,,EC,5,200,300,100,0.1,5
225,B,,MC,6,300,450,150,0.1,5
225,C,,Epi,8,600,850,250,0.1,5
225,C,,EPC,9,850,1150,300,0.1,5
225,D,,A,11,1300,1440,140,0.1,5
225,D,,M,12,1440,1520,80,0.1,5
226,A,,LF,3,-500,-100,400,0.3,15
226,A,,TF,4,-100,200,300,0.3,15
226,B,,Epi,8,600,850,250,0.6,30
226,B,,EPC,9,850,1150,300,0.6,30
227,A,,A,11,1300,1440,140,0.1,5
227,A,,M,12,1440,1520,80,0.1,5
228,A,,Epi,8,600,850,250,0.1,5
228,B,,A,11,1300,1440,140,0.3,15
228,B,,M,12,1440,1520,80,0.3,15
229,A,,EC,5,200,300,100,0.7,35
229,A,,MC,6,300,450,150,0.7,35
230,A,,LF,3,-500,-100,400,1.8,90
230,B,,EC,5,200,300,100,3.3,165
230,B,,MC,6,300,450,150,3.3,165
230,B,,LC,7,450,600,150,0.2,10
230,C,,P,10,1150,1300,150,1.2,60
230,C,,A,11,1300,1440,140,1,50
230,C,,M,12,1440,1520,80,3.8,190
231,A,,LF,3,-500,-100,400,0.2,10
231,B,,EC,5,200,300,100,2.9,145
231,B,,MC,6,300,450,150,2.9,145
231,C,,A,11,1300,1440,140,0.2,10
231,C,778,M,12,1440,1520,80,0.2,10
231,C,,M,12,1440,1520,80,0.6,30
232,A,,TF,4,-100,200,300,5,250
232,A,,EC,5,200,300,100,62.6,3130
232,A,,MC,6,300,450,150,62.6,3130
232,A,913,LC,7,450,600,150,2.1,105
232,A,,LC,7,450,600,150,2.4,120
233,A,,LF,3,-500,-100,400,2,100
233,B,,EC,5,200,300,100,1.4,70
233,B,,MC,6,300,450,150,1.4,70
233,B,,LC,7,450,600,150,4.4,220
233,C,,EPC,9,850,1150,300,0.6,30
233,D,,A,11,1300,1440,140,3.7,185
233,D,,M,12,1440,1520,80,6.4,320
234,A,,EC,5,200,300,100,0.5,25
234,A,,MC,6,300,450,150,0.5,25
234,B,,A,11,1300,1440,140,0.2,10
234,B,,M,12,1440,1520,80,0.5,25
235,A,,LF,3,-500,-100,400,0.2,10
235,A,,TF,4,-100,200,300,0.3,15
235,A,,EC,5,200,300,100,0.3,15
235,A,,MC,6,300,450,150,0.3,15
235,B,,Epi,8,600,850,250,0.2,10
236,A,,A,11,1300,1440,140,0.4,20
236,A,,M,12,1440,1520,80,0.4,20
237,A,,TF,4,-100,200,300,1.3,65
237,A,,EC,5,200,300,100,1.3,65
237,A,,MC,6,300,450,150,1.3,65
238,A,,LF,3,-500,-100,400,2.1,105
238,B,,EC,5,200,300,100,17.8,890
238,B,,MC,6,300,450,150,17.8,890
238,B,,LC,7,450,600,150,1.1,55
238,B,,Epi,8,600,850,250,2.1,105
238,B,779,EPC,9,850,1150,300,0.7,35
238,B,,EPC,9,850,1150,300,0.8,40
238,B,,P,10,1150,1300,150,2.7,135
238,B,,A,11,1300,1440,140,4.4,220
238,B,,M,12,1440,1520,80,5.9,295
239,A,,EC,5,200,300,100,1.1,55
239,B,,P,10,1150,1300,150,1.1,55
239,B,,A,11,1300,1440,140,1.1,55
239,B,,M,12,1440,1520,80,1.1,55
240,A,,P,10,1150,1300,150,0.2,10
240,A,,A/M,12,1300,1520,220,0.2,10
242,A,,TF,4,-100,200,300,0.3,15
242,A,,EC,5,200,300,100,0.3,15
242,A,,MC,6,300,450,150,0.3,15
242,A,,LC,7,450,600,150,0.3,15
244,A,,TF,4,-100,200,300,2.3,115
244,A,,EC,5,200,300,100,2.3,115
245,A,,MC,6,300,450,150,0.1,5
245,A,,LC,7,450,600,150,0.1,5
245,B,,A,11,1300,1440,140,0.2,10
245,B,,M,12,1440,1520,80,0.2,10
246,A,,LF,3,-500,-100,400,0.4,20
246,A,,TF,4,-100,200,300,5.3,265
246,A,,EC,5,200,300,100,20.2,1010
246,A,,MC,6,300,450,150,20.2,1010
246,A,,LC,7,450,600,150,0.2,10
246,B,,EPC,9,850,1150,300,0.3,15
246,B,,P,10,1150,1300,150,1.6,80
246,B,,A,11,1300,1440,140,2.8,140
246,B,,M,12,1440,1520,80,2.8,140
247,A,,EC,5,200,300,100,1.3,65
247,A,,MC,6,300,450,150,1.3,65
248,A,,A,11,1300,1440,140,0.2,10
248,A,,M,12,1440,1520,80,0.2,10
249,A,,P,10,1150,1300,150,0.1,5
249,A,,A,11,1300,1440,140,0.1,5
249,A,,M,12,1440,1520,80,0.1,5
250,A,,A,11,1300,1440,140,0.1,3
250,A,,M,12,1440,1520,80,0.1,3
251,A,914,TF,4,-100,200,300,0.1,5
251,A,,TF,4,-100,200,300,0.8,40
251,A,,EC,5,200,300,100,5.7,285
251,A,,MC,6,300,450,150,5.7,285
251,B,,Epi,8,600,850,250,6.5,325
251,B,,EPC,9,850,1150,300,0.4,20
251,C,,M,12,1440,1520,80,4.3,215
252,A,,MF,2,-1100,-500,600,0.9,45
252,A,,LF,3,-500,-100,400,3.5,175
252,B,,EC,5,200,300,100,5.9,295
252,B,,MC,6,300,450,150,5.9,295
252,C,,Epi,8,600,850,250,0.7,35
252,D,,M,12,1440,1520,80,0.4,20
253,A,,LF,3,-500,-100,400,0.4,20
253,B,,EC,5,200,300,100,11.3,565
253,B,,MC,6,300,450,150,11.3,565
253,B,,LC,7,450,600,150,2.1,105
253,B,,Epi,8,600,850,250,4.1,205
254,A,,MF,2,-1100,-500,600,0.8,40
254,A,,LF,3,-500,-100,400,0.8,40
254,A,,TF,4,-100,200,300,0.8,40
254,A,,EC,5,200,300,100,0.8,40
255,A,,MF,2,-1100,-500,600,0.2,10
255,A,,LF,3,-500,-100,400,0.2,10
255,A,,TF,4,-100,200,300,0.1,5
255,A,,EC,5,200,300,100,0.1,5
255,A,,MC,6,300,450,150,0.1,5
255,B,,A,11,1300,1440,140,0.5,25
255,B,,M,12,1440,1520,80,0.4,20
256,A,,EPC,9,850,1150,300,0.3,15
256,A,,P,10,1150,1300,150,1.1,55
258,A,,EC,5,200,300,100,0.2,10
258,A,,MC,6,300,450,150,0.2,10
258,B,,EPC,9,850,1150,300,0.5,25
259,A,,TF,4,-100,200,300,1,50
259,A,,EC,5,200,300,100,1,50
260,A,,EC,5,200,300,100,1.1,55
260,A,,MC,6,300,450,150,1.1,55
260,B,,A,11,1300,1440,140,1.1,55
