Site Occupation Location,Toponyms,SubOcc1,Start Date,End Date,Estimated Span,Area (ha)
80,Tell Tuqan,A,-1150,-1100,50,17.48
80,Tell Tuqan,A,-1100,-1050,50,13.82
80,Tell Tuqan,A,-1050,-1000,50,10.16
81,Tall an-Nasriyah,A,-3500,-2500,1000,5
81,Tall an-Nasriyah,A,-2500,-2100,400,10
81,Tall an-Nasriyah,A,-2100,-1600,500,30
82,Ras Shamra / Ugarit,A,-4000,-1900,2100,5
82,Ras Shamra / Ugarit,A,-1900,-1200,700,27
85,Tell Imar,A,-4000,-2000,2000,13.5
86,Tell Mabtuh Ghabi,A,-3900,-2000,1900,27
87,Tell Mabtuh Sharqi,A,-3000,-2000,1000,44
88,Tell Hamam Sharqi,A,-2300,-2000,300,11
89,Tell al-Maghr,A,-3000,-2000,1000,10
90,Tell Mu'azzar,A,-3000,-2000,1000,11
91,Tell Bogha Saghir,A,-3000,-2000,1000,18
92,Tell Sha'ir,A,-4000,-3900,100,14.6
92,Tell Sha'ir,B,-3100,-1900,1200,14.6
92,Tell Sha'ir,C,-1200,-1000,200,14.6
93,Tell Sahlan,A,-1800,-1600,200,10.5
95,Tell Barabra East,A,-4000,-1000,3000,25.6
97,Bandar Khan,A,-3500,-1600,1900,10.4
97,Bandar Khan,B,-1200,-1000,200,10.4
98,Tell Abu Shaikat,A,-2650,-2300,350,28
99,Tell Ghajar al-Kabir,A,-3500,-1000,2500,20.3
102,Tell Amouda ,A,-1350,-1000,350,10
103,Tall Hadjdji Badr,A,-3000,-2500,500,10.6
103,Tall Hadjdji Badr,B,-2000,-1550,450,11.6
104,Tell Cholma Foqani,A,-3500,-2200,1300,22
104,Tell Cholma Foqani,B,-1750,-1200,550,22
106,Tell Farfara,A,-2850,-2600,250,5
106,Tell Farfara,A,-2600,-2400,200,10
106,Tell Farfara,A,-2400,-2300,100,40
106,Tell Farfara,A,-2300,-2200,100,80
106,Tell Farfara,A,-2200,-1950,250,10
106,Tell Farfara,A,-1950,-1500,450,90
106,Tell Farfara,A,-1500,-1300,200,150
106,Tell Farfara,A,-1300,-1000,300,167
109,Tell Abu Khahraf / al Andalus,A,-4000,-3100,900,5
109,Tell Abu Khahraf / al Andalus,B,-2000,-1500,500,10
109,Tell Abu Khahraf / al Andalus,B,-1500,-1300,200,40
109,Tell Abu Khahraf / al Andalus,B,-1300,-1000,300,10
110,Tell Aarade,A,-4000,-3000,1000,2
110,Tell Aarade,A,-3000,-2500,500,7.4
110,Tell Aarade,A,-2500,-2000,500,6.6
110,Tell Aarade,A,-2000,-1600,400,12
110,Tell Aarade,A,-1600,-1400,200,6.6
110,Tell Aarade,A,-1400,-1000,400,12
123,Aleppo,A,-3000,-2000,1000,13.8
123,Aleppo,A,-2000,-1600,400,108
124,Khodr,A,-4000,-1000,3000,12.25
125,Dogir / Dougird,A,-3900,-1500,2400,16
126,Mohammed Diyab (55),A,-2750,-1950,800,50
126,Mohammed Diyab (55),A,-1950,-1900,50,10
126,Mohammed Diyab (55),A,-1900,-1600,300,35
126,Mohammed Diyab (55),A,-1600,-1000,600,5
127,Tell Aid,A,-2900,-2400,500,10
127,Tell Aid,A,-2400,-2200,200,20
127,Tell Aid,A,-2200,-1900,300,10
127,Tell Aid,A,-1900,-1600,300,20
127,Tell Aid,A,-1600,-1000,600,5
128,Lazzaga,A,-3900,-3100,800,5
128,Lazzaga,B,-2750,-2550,200,5
128,Lazzaga,B,-2550,-2250,300,19
128,Lazzaga,B,-2250,-1550,700,5
129,Tell Qarassa,A,-4000,-3500,500,5
129,Tell Qarassa,A,-3500,-3000,500,10.9
129,Tell Qarassa,A,-3000,-1650,1350,6
129,Tell Qarassa,B,-1200,-1000,200,6
131,Hamidya,A,-2400,-1850,550,17
131,Hamidya,B,-1500,-1350,150,97.5
132,Tell Taya,A,-2350,-1950,400,155
133,Tell Arbid,A,-2900,-2150,750,50
133,Tell Arbid,A,-2150,-2100,50,27
133,Tell Arbid,A,-2100,-2050,50,12
133,Tell Arbid,A,-2050,-2000,50,5
133,Tell Arbid,A,-2000,-1500,500,1
136,Chagar Bazar,A,-3100,-1850,1250,15
136,Chagar Bazar,A,-1850,-1500,350,12
137,Khirbat al-'Abd,A,-3900,-3300,600,0.9
137,Khirbat al-'Abd,B,-2000,-1500,500,10.4
137,Khirbat al-'Abd,B,-1500,-1150,350,16
137,Khirbat al-'Abd,B,-1150,-1000,150,1.74
138,Tell Madjal,A,-3000,-2000,1000,17.7
138,Tell Madjal,B,-1550,-1000,550,1
139,Talul al-Debah / Dumdum,A,-2550,-2350,200,5
139,Talul al-Debah / Dumdum,A,-2350,-2150,200,10
139,Talul al-Debah / Dumdum,B,-1900,-1700,200,27.5
139,Talul al-Debah / Dumdum,B,-1700,-1000,700,10
142,Tell Barri,A,-4000,-2900,1100,1
142,Tell Barri,A,-2900,-1950,950,7
142,Tell Barri,A,-1950,-1650,300,9.25
142,Tell Barri,B,-1600,-1400,200,37
142,Tell Barri,B,-1400,-1000,400,18.5
148,Tell al-Samir,A,-3100,-2500,600,10
148,Tell al-Samir,A,-2500,-1500,1000,19
150,Kharaba Tibn or Tell Abu Hajar,A,-2550,-2000,550,17.2
150,Kharaba Tibn or Tell Abu Hajar,A,-2000,-1400,600,18.6
150,Kharaba Tibn or Tell Abu Hajar,A,-1400,-1000,400,4.2
151,Tell Talab,A,-4000,-3900,100,5
151,Tell Talab,A,-3900,-2550,1350,14.8
151,Tell Talab,A,-2550,-2000,550,7.5
151,Tell Talab,A,-2000,-1500,500,10
