Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
9MC67,Kenan Field Mound B,A,Irene I,,1325,1375,50,2
9ME3,Kyle/Kyle Landing/Cooper,A,Averett,,900,1200,120,1
9ME3,Kyle/Kyle Landing/Cooper,B,Abercrombie,,1600,1650,50,0
9MG46,Little River,A,Dyar,,1500,1575,75,3
9MU100,Sixtoe Field,A,Early Etowah,,1000,1075,75,1
9MU101,Bell Field,A,Late Savannah,,1250,1325,75,1
9MU102,Little Egypt,A,Little Egypt,,1350,1450,40,2
9MU102,Little Egypt,A,Barnett,,1450,1550,100,0
9MU102,Little Egypt,A,Late Lamar,,1550,1800,100,0
9PU10,Sandy Hammock,A,Early Savannah,,1150,1250,40,1
9QU1,Gary's Fish Pond,A,Rood III,,1300,1400,40,1
9QU1,Gary's Fish Pond,A,Singer,,1400,1450,50,1
9QU5,Cool Branch,A,Rood I,,1100,1200,40,1
9RA3,Dillard Mound,A,Etowah,,1000,1150,60,1
9RA3,Dillard Mound,B,Middle Lamar,,1450,1550,40,0
9RA3,Dillard Mound,B,Late Lamar,,1550,1800,100,0
9RI1,Hollywood,A,Hollywood,,1250,1350,40,2
9SN215,Spring Lake,A,Hollywood,,1250,1350,40,1
9SN3,Mound near Hudson's Ferry,A,Middle Mississippian,,1200,1400,80,1
9SN4,Red Lake,A,Hollywood,,1250,1350,40,3
9ST1,Tugalo,A,Jarrett,,1075,1150,75,1
9ST1,Tugalo,B,Early lamar,,1350,1450,40,0
9ST1,Tugalo,B,Tugalo,,1450,1550,40,0
9ST1,Tugalo,C,Estatoe,,1650,1750,40,0
9ST3,Estatoe,A,Jarrett,,1075,1150,75,1
9ST3,Estatoe,B,Rembert,,1350,1450,40,0
9ST3,Estatoe,B,Tugalo,,1450,1550,40,0
9ST3,Estatoe,C,Estatoe,,1650,1750,40,0
9SW1,Rood's Landing,A,Rood I,,1100,1200,40,8
9SW1,Rood's Landing,B,Rood III,,1300,1400,40,8
9SW1,Rood's Landing,C,Stewart,,1550,1600,50,8
9SW2,Singer-Moye,A,Rood I,,1100,1200,40,8
9SW2,Singer-Moye,B,Rood III,,1300,1400,40,8
9SW2,Singer-Moye,B,Singer,,1400,1450,50,8
9TP41,Park Mound,A,Early Savannah,,1150,1250,40,1
9TP41,Park Mound,B,Early lamar,,1350,1450,40,0
9TP41,Park Mound,B,Bull Creek,,1450,1550,40,0
9TP64,Avery,A,Rood,,1100,1400,120,2
9TP64,Avery,B,Bull Creek,,1450,1550,40,0
9TR1,Neisler,A,Brunson,,1150,1225,75,1
9TR1,Neisler,B,Thorton,,1325,1450,50,0
9TR1,Neisler,B,Lockett,,1450,1550,40,0
9TR12,Hartley-Posey,A,Brunson,,1150,1225,75,1
9TR12,Hartley-Posey,B,Lockett,,1450,1550,40,0
9TW1,Bullard Landing,A,Cowarts,,1450,1550,40,1
9WH2,Eastwood,A,Early Etowah,,1000,1075,75,1
9WH2,Eastwood,B,Middle Lamar,,1450,1550,40,0
9WH3,Nacoochee,A,Etowah,,1000,1150,60,1
9WH3,Nacoochee,B,Middle Lamar,,1450,1550,40,0
9WY13,Mound Opposite Fort Barrington,A,Savannah,,1150,1325,70,1
9WY9,Paradise Park Mounds and Village -9WY9,A,Savannah,,1150,1325,70,2
