Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
22WS516,Arcola,A,Winterville,,1200,1350,150,6
22WS516,Arcola,A,Lake George I,,1350,1425,75,6
22WS516,Arcola,A,Late Mississippian,,1400,1600,,6
22WS516,Arcola,A,Lake George II,,1425,1500,75,6
22WS516,Arcola,A,Wasp Lake,,1500,1682,72.8,6
22WS518,Swan Lake,A,Winterville,,1200,1350,60,4
22WS518,Swan Lake,A,Lake George,,1350,1500,60,4
22WS549,Law,A,Crippen Point,,1000,1200,80,3
22WS549,Law,B,Lake George I,,1350,1425,75,3
22WS550,Griffin,A,Kings Crossing,,900,1000,40,5
22WS550,Griffin,B,Cahokia Horizon,,1150,1250,30,5
22WS550,Griffin,B,Winterville,,1200,1350,150,5
22WS550,Griffin,B,Lake George,,1350,1500,50,5
22WS554,Percy Jones,A,Crippen Point,,1000,1200,80,3
22WS554,Percy Jones,A,Winterville,,1200,1350,60,3
22YZ547,Woodbine Plantation Mound,A,Smith,,1350,1500,60,1
22YZ557,Lake George,A,Crippen Point,,1000,1200,80,24
22YZ557,Lake George,A,Winterville,,1200,1350,,24
22YZ557,Lake George,A,Winterville I,,1200,1275,75,24
22YZ557,Lake George,A,Winterville II,,1275,1350,75,24
22YZ557,Lake George,A,Lake George,,1350,1500,,24
22YZ557,Lake George,A,Lake George I,,1350,1425,75,24
22YZ557,Lake George,A,Lake George II,,1425,1500,75,24
22YZ562,Landrum,A,Crippen Point,,1000,1200,80,3
22YZ562,Landrum,A,Winterville,,1200,1350,150,3
22YZ562,Landrum,A,Lake George,,1350,1500,60,3
22YZ587,Mabin,A,Crippen Point,,1000,1200,80,3
22YZ587,Mabin,A,Winterville,,1200,1350,150,3
22YZ587,Mabin,A,Lake George,,1350,1500,60,3
22YZ596,Champlin,A,Early Mississippian,,1000,1200,80,2
22YZ610,Gammel,A,Crippen Point,,1000,1200,80,2
22YZ610,Gammel,B,Lake George,,1350,1500,60,2
38AK15,Mason Plantation,A,Hollywood,,1250,1350,40,6
38AL11,Lawton,A,Hollywood,,1250,1350,40,2
38OC47,Chauga,A,Woodstock,,900,1000,40,1
38OC47,Chauga,B,Jarrett,,1075,1150,75,0
38OC47,Chauga,C,Tugalo,,1450,1550,40,0
38OC47,Chauga,D,Estatoe,,1650,1750,40,0
40AN17,Lea Farm site,A,Small Log,,1050,1250,80,3
40AN19,Cox Mound,A,Large Log,,1250,1550,120,1
40AN32,Clinton Mound/Fish Hatchery site,A,Early Dallas,,1300,1400,40,1
40AN4,Holt Island,A,Late Dallas,,1400,1600,80,1
40BT7,Chilhowee/McMurray,A,Late Dallas,,1400,1600,80,3
40BT8,Talassee/Hardin Mound,A,Early Dallas,,1300,1400,40,1
40BT8,Talassee/Hardin Mound,A,Late Dallas,,1400,1600,80,1
40CE10,Ausmus Farm Mounds,A,Large Log,,1250,1550,120,2
40CH8,Mound Bottom,A,Early Mississippian,,1000,1200,80,14
40CP2,Bowman Farm,A,Small Log,,1050,1250,80,2
40CP5,Irvin Village site,A,Small Log,,1050,1250,80,1
40CP5,Irvin Village site,A,Large Log,,1250,1550,120,1
40CP58,McCarty Farm Mounds,A,Small Log,,1050,1250,80,3
40CP8,Richardson Farm Mound,A,Small Log,,1050,1250,80,1
40CP9,Harris Farm mounds,A,Small Log,,1050,1250,80,2
40DK19,Cottage Home Mound,A,Emergent Mississippian,,900,1000,40,1
40DV3,Cains Chapel/Noel Cemetery,A,Thruston,,1250,1450,80,3
40DV39,Brick Church Pike Mound/Love Mound,A,Thruston,,1250,1450,80,2
40DV4,East Nashville Mounds,A,Thruston,,1250,1450,80,4
40DV426,Miss Bowling's Farm/Bosley Farm,A,Dowd,,1100,1250,60,5
40DV5,French Lick,A,Dowd,,1100,1250,60,1
40DV5,French Lick,A,Thruston,,1250,1450,80,1
40DV6,Gordontown,A,Thruston,,1250,1450,80,4
40FY7,Ames Plantation site.,A,Middle Mississippian,,1200,1400,80,4
40GN2,Lick Creek/Cooper,A,Late Dallas,,1400,1600,80,2
40HA1,Dallas,A,Early Dallas,,1300,1400,40,1
40HA1,Dallas,A,Late Dallas,,1400,1600,80,1
40HA10,Sale Creek,A,Early Hiwassee Island,,1050,1200,60,1
40HA10,Sale Creek,B,Late Dallas,,1400,1600,80,1
40HA146,Hampton Place,A,Late Dallas,,1400,1600,80,1
40HA2,Davis,A,Early Hiwassee Island,,1050,1200,60,1
40HA2,Davis,B,Dallas,,1300,1600,120,1
40HA3,Hixon,A,Hiwassee Island,,1050,1300,,1
40HA3,Hixon,A,Early Hiwassee Island,,1050,1200,60,1
40HA3,Hixon,A,Late Hiwassee Island,,1200,1300,40,1
40HA60,Williams island/Hampton Mound,A,Late Dallas,,1400,1600,80,1
40HA65,Citico,A,Early Hiwassee Island,,1050,1200,60,2
40HA65,Citico,A,Late Hiwassee Island,,1200,1300,100,2
40HA65,Citico,A,Early Dallas,,1300,1400,100,2
40HA65,Citico,A,Late Dallas,,1400,1600,80,2
40HA65,Citico,A,Late Mississippian,,1400,1600,80,2
40HM2,Bolivar/Pleasant Run,A,Early Mississippian,,1000,1200,80,6
40HR16,Swallow Bluff Island,A,Shiloh,,1050,1400,140,2
40HR24,Pittsburgh Ferry,A,Shiloh,,1050,1400,140,1
40HR29,Savannah,A,Shiloh,,1050,1400,140,17
40HR30,McKelvey/Swan Pond,A,Shiloh,,1050,1400,140,1
40HR5,Wolf Island,A,Shiloh,,1050,1400,140,2
40HR7,Shiloh,A,Shiloh,,1050,1400,140,7
40HS1,Slayden,A,Early Mississippian,,1000,1200,80,2
40HS12,Patterson site,A,Middle Mississippian,,1200,1400,80,5
