"region","npp"
"Basin of Mexico",1206.78107201248
"Basin of Mexico",1180.39346406804
"Basin of Mexico",1141.31678391842
"Basin of Mexico",1097.61513978356
"Basin of Mexico",1043.81472466524
"Basin of Mexico",983.143142023621
"Basin of Mexico",924.727877063167
"Basin of Mexico",880.160689943293
"Basin of Mexico",861.783033164198
"Basin of Mexico",850.394603747091
"Basin of Mexico",836.073731235991
"Basin of Mexico",823.103391077797
"Basin of Mexico",824.548370639816
"Basin of Mexico",844.677663078203
"Basin of Mexico",853.247385047272
"Basin of Mexico",846.108322078567
"Basin of Mexico",837.510101350798
"Basin of Mexico",837.510101350798
"Basin of Mexico",836.073731235991
"Basin of Mexico",834.636407054713
"Basin of Mexico",844.677663078203
"Basin of Mexico",871.69840445229
"Basin of Mexico",885.783512736694
"Basin of Mexico",875.933761414572
"Basin of Mexico",868.870142383045
"Basin of Mexico",861.783033164198
"Basin of Mexico",850.394603747091
"Basin of Mexico",857.519459857092
"Basin of Mexico",881.567796034249
"Basin of Mexico",927.482009293864
"Basin of Mexico",981.80350435944
"Basin of Mexico",1033.39582037234
"Basin of Mexico",1090.02092086114
"Basin of Mexico",1170.70199639999
"Basin of Mexico",1182.8082977433
"Basin of Mexico",1192.43562724041
"Basin of Mexico",1194.83447953697
"Basin of Mexico",1174.3423310461
"Basin of Mexico",1132.65751578041
"Basin of Mexico",1081.12267459672
"Basin of Mexico",1025.54524135115
"Basin of Mexico",965.658277518744
"Basin of Mexico",913.674700299571
"Basin of Mexico",880.160689943293
"Basin of Mexico",861.783033164198
"Basin of Mexico",854.672355641008
"Basin of Mexico",837.510101350798
"Basin of Mexico",821.657451730735
"Basin of Mexico",821.657451730735
"Basin of Mexico",830.318703772841
"Basin of Mexico",840.379981913738
"Basin of Mexico",836.073731235991
"Basin of Mexico",827.435452956647
"Basin of Mexico",825.992391053878
"Basin of Mexico",821.657451730735
"Basin of Mexico",818.762691131025
"Basin of Mexico",815.864083735531
"Basin of Mexico",818.762691131025
"Basin of Mexico",827.435452956647
"Basin of Mexico",827.435452956647
"Basin of Mexico",831.75889395748
"Basin of Mexico",833.198128173253
"Basin of Mexico",837.510101350798
"Basin of Mexico",844.677663078203
"Basin of Mexico",868.870142383045
"Basin of Mexico",906.736589413379
"Basin of Mexico",956.180648245028
"Basin of Mexico",1003.13132991529
"Basin of Mexico",1050.29849077206
"Basin of Mexico",1165.83692294487
"Basin of Mexico",1154.84314771398
"Basin of Mexico",1167.05440297993
"Basin of Mexico",1174.3423310461
"Basin of Mexico",1174.3423310461
"Basin of Mexico",1168.27107487658
"Basin of Mexico",1158.51504174309
"Basin of Mexico",1163.39953631202
"Basin of Mexico",1169.48693917124
"Basin of Mexico",1162.17962863961
"Basin of Mexico",1130.17603762457
"Basin of Mexico",1083.66925238295
"Basin of Mexico",1025.54524135115
"Basin of Mexico",961.601829927113
"Basin of Mexico",915.059560474112
"Basin of Mexico",884.37920681118
"Basin of Mexico",864.620700667895
"Basin of Mexico",854.672355641008
"Basin of Mexico",840.379981913738
"Basin of Mexico",824.548370639816
"Basin of Mexico",823.103391077797
"Basin of Mexico",824.548370639816
"Basin of Mexico",830.318703772841
"Basin of Mexico",831.75889395748
"Basin of Mexico",827.435452956647
"Basin of Mexico",821.657451730735
"Basin of Mexico",812.961624432315
"Basin of Mexico",812.961624432315
"Basin of Mexico",808.600701951428
"Basin of Mexico",810.055308102646
"Basin of Mexico",811.508948715973
"Basin of Mexico",820.210551961122
"Basin of Mexico",833.198128173253
"Basin of Mexico",840.379981913738
"Basin of Mexico",847.53803143667
"Basin of Mexico",851.82146795886
"Basin of Mexico",868.870142383045
"Basin of Mexico",901.169491962127
"Basin of Mexico",935.722495021678
"Basin of Mexico",984.481890463648
"Basin of Mexico",1043.81472466524
"Basin of Mexico",1162.17962863961
"Basin of Mexico",1160.95891067951
"Basin of Mexico",1136.37355960054
"Basin of Mexico",1154.84314771398
"Basin of Mexico",1181.60128176805
"Basin of Mexico",1181.60128176805
"Basin of Mexico",1169.48693917124
"Basin of Mexico",1157.29188968926
"Basin of Mexico",1151.16393198197
"Basin of Mexico",1149.93589717037
"Basin of Mexico",1146.24689645267
"Basin of Mexico",1133.89701962912
"Basin of Mexico",1102.66116987796
"Basin of Mexico",1045.11320054637
"Basin of Mexico",972.401092770564
"Basin of Mexico",920.589814852656
"Basin of Mexico",887.186886512582
"Basin of Mexico",867.454602250272
"Basin of Mexico",854.672355641008
"Basin of Mexico",840.379981913738
"Basin of Mexico",830.318703772841
"Basin of Mexico",824.548370639816
"Basin of Mexico",823.103391077797
"Basin of Mexico",824.548370639816
"Basin of Mexico",827.435452956647
"Basin of Mexico",823.103391077797
"Basin of Mexico",815.864083735531
"Basin of Mexico",812.961624432315
"Basin of Mexico",814.413335892149
"Basin of Mexico",820.210551961122
"Basin of Mexico",823.103391077797
"Basin of Mexico",828.877556984362
"Basin of Mexico",841.813493627189
"Basin of Mexico",848.966791782867
"Basin of Mexico",850.394603747091
"Basin of Mexico",844.677663078203
"Basin of Mexico",846.108322078567
"Basin of Mexico",856.096380368332
"Basin of Mexico",884.37920681118
"Basin of Mexico",912.288920272516
"Basin of Mexico",949.383891624258
"Basin of Mexico",1033.39582037234
"Basin of Mexico",1125.20318415444
"Basin of Mexico",1158.51504174309
"Basin of Mexico",1142.55053992158
"Basin of Mexico",1158.51504174309
"Basin of Mexico",1181.60128176805
"Basin of Mexico",1180.39346406804
"Basin of Mexico",1164.61863423461
"Basin of Mexico",1152.39115164911
"Basin of Mexico",1149.93589717037
"Basin of Mexico",1147.47737994769
"Basin of Mexico",1142.55053992158
"Basin of Mexico",1138.84681290971
"Basin of Mexico",1122.71180007011
"Basin of Mexico",1068.33893410675
"Basin of Mexico",987.156722031843
"Basin of Mexico",921.97008491522
"Basin of Mexico",888.589328757584
"Basin of Mexico",870.284742909153
"Basin of Mexico",857.519459857092
"Basin of Mexico",846.108322078567
"Basin of Mexico",834.636407054713
"Basin of Mexico",831.75889395748
"Basin of Mexico",828.877556984362
"Basin of Mexico",825.992391053878
"Basin of Mexico",821.657451730735
"Basin of Mexico",818.762691131025
"Basin of Mexico",814.413335892149
"Basin of Mexico",811.508948715973
"Basin of Mexico",814.413335892149
"Basin of Mexico",825.992391053878
"Basin of Mexico",846.108322078567
"Basin of Mexico",853.247385047272
"Basin of Mexico",853.247385047272
"Basin of Mexico",853.247385047272
"Basin of Mexico",838.945518032424
"Basin of Mexico",827.435452956647
"Basin of Mexico",831.75889395748
"Basin of Mexico",838.945518032424
"Basin of Mexico",854.672355641008
"Basin of Mexico",880.160689943293
"Basin of Mexico",921.97008491522
"Basin of Mexico",1025.54524135115
"Basin of Mexico",1145.01559564528
"Basin of Mexico",1095.08709443862
"Basin of Mexico",1143.78347698266
"Basin of Mexico",1160.95891067951
"Basin of Mexico",1184.01451252597
"Basin of Mexico",1200.81769143737
"Basin of Mexico",1186.42454064048
"Basin of Mexico",1153.61755671288
"Basin of Mexico",1127.69126187661
"Basin of Mexico",1133.89701962912
"Basin of Mexico",1140.08220842924
"Basin of Mexico",1120.21710522986
"Basin of Mexico",1110.20513022984
"Basin of Mexico",1102.66116987796
"Basin of Mexico",1056.76076646923
"Basin of Mexico",983.143142023621
"Basin of Mexico",921.97008491522
"Basin of Mexico",892.791072488545
"Basin of Mexico",873.111127635731
"Basin of Mexico",860.362785628219
"Basin of Mexico",851.82146795886
"Basin of Mexico",841.813493627189
"Basin of Mexico",838.945518032424
"Basin of Mexico",831.75889395748
"Basin of Mexico",824.548370639816
"Basin of Mexico",818.762691131025
"Basin of Mexico",814.413335892149
"Basin of Mexico",811.508948715973
"Basin of Mexico",811.508948715973
"Basin of Mexico",815.864083735531
"Basin of Mexico",840.379981913738
"Basin of Mexico",856.096380368332
"Basin of Mexico",853.247385047272
"Basin of Mexico",844.677663078203
"Basin of Mexico",834.636407054713
"Basin of Mexico",820.210551961122
"Basin of Mexico",823.103391077797
"Basin of Mexico",838.945518032424
"Basin of Mexico",850.394603747091
"Basin of Mexico",860.362785628219
"Basin of Mexico",874.522913082342
"Basin of Mexico",920.589814852656
"Basin of Mexico",1038.61219066717
"Basin of Mexico",1058.05064903189
"Basin of Mexico",1091.2887260118
"Basin of Mexico",1127.69126187661
"Basin of Mexico",1167.05440297993
"Basin of Mexico",1192.43562724041
"Basin of Mexico",1180.39346406804
"Basin of Mexico",1133.89701962912
"Basin of Mexico",1091.2887260118
"Basin of Mexico",1102.66116987796
"Basin of Mexico",1111.45953751406
"Basin of Mexico",1077.29646132131
"Basin of Mexico",1039.91411988424
"Basin of Mexico",1029.4744404488
"Basin of Mexico",1001.8049688152
"Basin of Mexico",957.537293838412
"Basin of Mexico",916.44350140672
"Basin of Mexico",888.589328757584
"Basin of Mexico",874.522913082342
"Basin of Mexico",861.783033164198
"Basin of Mexico",854.672355641008
"Basin of Mexico",843.246053804807
"Basin of Mexico",838.945518032424
"Basin of Mexico",831.75889395748
"Basin of Mexico",820.210551961122
"Basin of Mexico",815.864083735531
"Basin of Mexico",808.600701951428
"Basin of Mexico",810.055308102646
"Basin of Mexico",812.961624432315
"Basin of Mexico",824.548370639816
"Basin of Mexico",848.966791782867
"Basin of Mexico",848.966791782867
"Basin of Mexico",834.636407054713
