"region","npp"
"Central Italy",1454.61002628969
"Central Italy",1450.89255567915
"Central Italy",1481.06065997102
"Central Italy",1229.26221279139
"Central Italy",1221.01266646264
"Central Italy",1280.24766587784
"Central Italy",1380.0094941056
"Central Italy",1450.89255567915
"Central Italy",1441.97896295062
"Central Italy",1441.97896295062
"Central Italy",1473.98419695845
"Central Italy",1430.82769093401
"Central Italy",1386.45069688544
"Central Italy",1355.07911527591
"Central Italy",1397.48505793292
"Central Italy",1450.89255567915
"Central Italy",1419.32449786723
"Central Italy",1317.52102080266
"Central Italy",1260.72512359633
"Central Italy",1251.46151308622
"Central Italy",1282.52998118476
"Central Italy",1357.26212037462
"Central Italy",1450.50001484042
"Central Italy",1415.26530518008
"Central Italy",1433.06947215837
"Central Italy",1474.99713511899
"Central Italy",1424.56363874812
"Central Italy",1386.45069688544
"Central Italy",1370.29944611653
"Central Italy",1375.70108028113
"Central Italy",1400.31891313698
"Central Italy",1408.79388960447
"Central Italy",1382.15941363489
"Central Italy",1253.78203103189
"Central Italy",1268.79051473253
"Central Italy",1357.26212037462
"Central Italy",1410.90560882716
"Central Italy",1450.89255567915
"Central Italy",1415.26530518008
"Central Italy",1433.06947215837
"Central Italy",1367.04984708711
"Central Italy",1265.33850838103
"Central Italy",1265.33850838103
"Central Italy",1324.21068240155
"Central Italy",1381.08481075687
"Central Italy",1450.89255567915
"Central Italy",1397.48505793292
"Central Italy",1415.26530518008
"Central Italy",1477.65165382763
"Central Italy",1448.44091191841
"Central Italy",1411.96041726774
"Central Italy",1416.17265407279
"Central Italy",1439.14103445102
"Central Italy",1463.81773673121
"Central Italy",1468.72953119414
"Central Italy",1465.85643278303
"Central Italy",1426.65442964344
"Central Italy",1405.62104793142
"Central Italy",1367.04984708711
"Central Italy",1274.5285997319
"Central Italy",1318.6378160278
"Central Italy",1334.19533550525
"Central Italy",1396.06451282766
"Central Italy",1450.89255567915
"Central Italy",1415.26530518008
"Central Italy",1390.73059761036
"Central Italy",1281.38920239563
"Central Italy",1299.55107680621
"Central Italy",1360.53119714937
"Central Italy",1389.66168788842
"Central Italy",1432.91016868917
"Central Italy",1415.26530518008
"Central Italy",1424.16471083559
"Central Italy",1365.9652081253
"Central Italy",1268.79051473253
"Central Italy",1295.02868138363
"Central Italy",1393.93307153693
"Central Italy",1397.48505793292
"Central Italy",1370.8704133217
"Central Italy",1362.01619504903
"Central Italy",1397.48505793292
"Central Italy",1450.89255567915
"Central Italy",1461.77633149252
"Central Italy",1458.70913603241
"Central Italy",1433.06947215837
"Central Italy",1397.48505793292
"Central Italy",1388.60546048489
"Central Italy",1388.60546048489
"Central Italy",1486.5753584472
"Central Italy",1489.10787342375
"Central Italy",1453.5835465936
"Central Italy",1390.73059761036
"Central Italy",1275.67393244913
"Central Italy",1140.08220842924
"Central Italy",1132.65751578041
"Central Italy",1232.78601159468
"Central Italy",1289.35876976053
"Central Italy",1160.95891067951
"Central Italy",1199.62263767054
"Central Italy",1320.86918305248
"Central Italy",1391.79879781184
"Central Italy",1403.50230614991
"Central Italy",1388.60546048489
"Central Italy",1379.73370664525
"Central Italy",1388.60546048489
"Central Italy",1370.8704133217
"Central Italy",1390.73059761036
"Central Italy",1315.28520446483
"Central Italy",1389.66168788842
"Central Italy",1379.73370664525
"Central Italy",1379.73370664525
"Central Italy",1397.48505793292
"Central Italy",1353.17166382054
"Central Italy",1362.01619504903
"Central Italy",1408.79388960447
"Central Italy",1327.54553210915
"Central Italy",1356.1709802041
"Central Italy",1406.37187987873
"Central Italy",1362.01619504903
"Central Italy",1353.17166382054
"Central Italy",1397.48505793292
"Central Italy",1450.89255567915
"Central Italy",1468.72953119414
"Central Italy",1431.86927550289
"Central Italy",1438.10427993349
"Central Italy",1424.16471083559
"Central Italy",1379.73370664525
"Central Italy",1370.8704133217
"Central Italy",1406.37187987873
"Central Italy",1415.26530518008
"Central Italy",1450.89255567915
"Central Italy",1488.10430790482
"Central Italy",1375.70108028113
"Central Italy",1223.37359363896
"Central Italy",1121.46486676931
"Central Italy",1176.76519529253
"Central Italy",1302.93499955518
"Central Italy",1415.12064348623
"Central Italy",1461.77633149252
"Central Italy",1440.17710079206
"Central Italy",1459.80962165175
"Central Italy",1413.01452554799
"Central Italy",1276.81850491787
"Central Italy",1179.18484411076
"Central Italy",1242.14856334811
"Central Italy",1364.87984872405
"Central Italy",1335.30106266044
"Central Italy",1192.43562724041
"Central Italy",1159.73738189353
"Central Italy",1250.30009798377
"Central Italy",1348.51267881509
"Central Italy",1424.16471083559
"Central Italy",1370.8704133217
"Central Italy",1317.90255095324
"Central Italy",1291.58197977477
"Central Italy",1344.33742892102
"Central Italy",1406.67936415572
"Central Italy",1329.76507753815
"Central Italy",1370.8704133217
"Central Italy",1309.11553429171
"Central Italy",1256.69315821437
"Central Italy",1291.58197977477
"Central Italy",1274.10630851687
"Central Italy",1309.11553429171
"Central Italy",1406.37187987873
"Central Italy",1424.16471083559
"Central Italy",1379.73370664525
"Central Italy",1370.8704133217
"Central Italy",1388.60546048489
"Central Italy",1415.26530518008
"Central Italy",1424.16471083559
"Central Italy",1449.47080519049
"Central Italy",1382.15941363489
"Central Italy",1331.98167736713
"Central Italy",1333.08887390343
"Central Italy",1406.67936415572
"Central Italy",1477.65165382763
"Central Italy",1459.80962165175
"Central Italy",1486.5753584472
"Central Italy",1486.5753584472
"Central Italy",1459.80962165175
"Central Italy",1450.50001484042
"Central Italy",1297.29138052998
"Central Italy",1146.24689645267
"Central Italy",1125.20318415444
"Central Italy",1246.81122201216
"Central Italy",1386.45069688544
"Central Italy",1461.77633149252
"Central Italy",1455.63582462949
"Central Italy",1425.60938126706
"Central Italy",1402.44187965856
"Central Italy",1391.79879781184
"Central Italy",1382.15941363489
"Central Italy",1415.26530518008
"Central Italy",1388.60546048489
"Central Italy",1406.37187987873
"Central Italy",1424.16471083559
"Central Italy",1406.37187987873
"Central Italy",1441.97896295062
"Central Italy",1415.12064348623
"Central Italy",1267.64060990816
"Central Italy",1177.97542136333
"Central Italy",1245.64671809106
"Central Italy",1367.04984708711
"Central Italy",1347.41572708615
"Central Italy",1210.3496086745
"Central Italy",1142.55053992158
"Central Italy",1209.16088620248
"Central Italy",1304.06147668368
"Central Italy",1392.86628896381
"Central Italy",1353.17166382054
"Central Italy",1282.83661733413
"Central Italy",1239.34709816432
"Central Italy",1309.11553429171
"Central Italy",1397.48505793292
"Central Italy",1328.65567326818
"Central Italy",1379.73370664525
"Central Italy",1326.70227071423
"Central Italy",1248.01145912506
"Central Italy",1196.304783411
"Central Italy",1204.87415666807
