Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
ZULoc218,ZU-AZ-232,A,AZ,8,1150,1520,185,0.3,5
ZULoc219,ZU-AZ-233,B,AZ,8,1150,1520,185,5.4,100
ZULoc220,ZU-AZ-234,A,AZ,8,1150,1520,185,0.5,5
ZULoc221,ZU-AZ-235,A,AZ,8,1150,1520,185,1.2,20
ZULoc222,ZU-AZ-236,A,AZ,8,1150,1520,370,11.8,240
ZULoc21,ZU-AZ-237,A,AZ,8,1150,1520,185,2.6,50
ZULoc21,ZU-AZ-238,A,AZ,8,1150,1520,185,0,
ZULoc224,ZU-AZ-239,A,AZ,8,1150,1520,185,1.1,10
ZULoc23,ZU-AZ-24,A,AZ,8,1150,1520,185,1,20
ZULoc225,ZU-AZ-240,A,AZ,8,1150,1520,370,1.8,20
ZULoc226,ZU-AZ-241,A,AZ,8,1150,1520,185,1.9,40
ZULoc227,ZU-AZ-242,A,AZ,8,1150,1520,185,2.5,50
ZULoc228,ZU-AZ-243,A,AZ,8,1150,1520,185,1,10
ZULoc18,ZU-AZ-244,A,AZ,8,1150,1520,185,0.6,20
ZULoc230,ZU-AZ-245,B,AZ,8,1150,1520,185,3.5,70
ZULoc231,ZU-AZ-246,B,AZ,8,1150,1520,185,1,10
ZULoc232,ZU-AZ-247,A,AZ,8,1150,1520,185,1.3,30
ZULoc341,ZU-AZ-248,A,AZ,8,1150,1520,185,0.3,5
ZULoc234,ZU-AZ-249,A,AZ,8,1150,1520,370,5.1,100
ZULoc24,ZU-AZ-25,A,AZ,8,1150,1520,185,0.1,10
ZULoc235,ZU-AZ-250,A,AZ,8,1150,1520,370,0.9,20
ZULoc235,ZU-AZ-251,A,AZ,8,1150,1520,370,0.4,10
ZULoc235,ZU-AZ-252,A,AZ,8,1150,1520,370,0.3,10
ZULoc236,ZU-AZ-253,A,AZ,8,1150,1520,185,0.1,5
ZULoc219,ZU-AZ-254,B,AZ,8,1150,1520,185,1.8,40
ZULoc219,ZU-AZ-255,B,AZ,8,1150,1520,185,13.8,400
ZULoc266,ZU-AZ-256,A,AZ,8,1150,1520,185,0.4,
ZULoc192,ZU-AZ-257,A,AZ,8,1150,1520,185,0.6,10
ZULoc469,ZU-AZ-258,A,AZ,8,1150,1520,185,1,10
ZULoc223,ZU-AZ-259,A,AZ,8,1150,1520,370,0.4,10
ZULoc25,ZU-AZ-26,A,AZ,8,1150,1520,185,1.1,20
ZULoc223,ZU-AZ-260,A,AZ,8,1150,1520,370,1.3,20
ZULoc470,ZU-AZ-261,A,AZ,8,1150,1520,370,1.5,15
ZULoc471,ZU-AZ-262,A,AZ,8,1150,1520,370,0.3,5
ZULoc472,ZU-AZ-263,A,AZ,8,1150,1520,185,0.8,20
ZULoc473,ZU-AZ-264,A,AZ,8,1150,1520,185,1.7,30
ZULoc474,ZU-AZ-265,A,AZ,8,1150,1520,185,3,30
ZULoc229,ZU-AZ-266,B,AZ,8,1150,1520,370,5.3,100
ZULoc178,ZU-AZ-267,A,AZ,8,1150,1520,185,1.7,10
ZULoc179,ZU-AZ-268,A,AZ,8,1150,1520,185,1.5,30
ZULoc475,ZU-AZ-269,A,AZ,8,1150,1520,370,13.6,200
ZULoc26,ZU-AZ-27,A,AZ,8,1150,1520,185,0.4,10
ZULoc233,ZU-AZ-270,B,AZ,8,1150,1520,185,2.8,80
ZULoc476,ZU-AZ-271,A,AZ,8,1150,1520,185,6.5,130
ZULoc477,ZU-AZ-272,A,AZ,8,1150,1520,370,3.1,30
ZULoc478,ZU-AZ-273,A,AZ,8,1150,1520,185,1.4,10
ZULoc237,ZU-AZ-274,A,AZ,8,1150,1520,185,3.2,60
ZULoc238,ZU-AZ-275,A,AZ,8,1150,1520,185,3.2,60
ZULoc239,ZU-AZ-276,A,AZ,8,1150,1520,185,69.3,3500
ZULoc240,ZU-AZ-277,A,AZ,8,1150,1520,185,1.3,10
ZULoc241,ZU-AZ-278,A,AZ,8,1150,1520,185,5.7,120
ZULoc251,ZU-AZ-279,A,AZ,8,1150,1520,185,0.8,10
ZULoc27,ZU-AZ-28,A,AZ,8,1150,1520,185,1,10
ZULoc252,ZU-AZ-280,A,AZ,8,1150,1520,185,0.8,10
ZULoc253,ZU-AZ-281,A,AZ,8,1150,1520,185,7.5,150
ZULoc254,ZU-AZ-282,A,AZ,8,1150,1520,185,2.9,60
ZULoc255,ZU-AZ-283,A,AZ,8,1150,1520,185,1.6,10
ZULoc256,ZU-AZ-284,A,AZ,8,1150,1520,370,5.4,60
ZULoc257,ZU-AZ-285,A,AZ,8,1150,1520,370,0.1,5
ZULoc258,ZU-AZ-286,B,AZ,8,1150,1520,185,10.1,150
ZULoc257,ZU-AZ-287,A,AZ,8,1150,1520,370,8.5,170
ZULoc457,ZU-AZ-288,A,AZ,8,1150,1520,185,14.5,300
ZULoc259,ZU-AZ-289,A,AZ,8,1150,1520,185,1.5,30
ZULoc28,ZU-AZ-29,B,AZ,8,1150,1520,370,0.9,20
ZULoc260,ZU-AZ-290,A,AZ,8,1150,1520,185,1.7,40
ZULoc261,ZU-AZ-291,A,AZ,8,1150,1520,185,2,20
ZULoc262,ZU-AZ-292,A,AZ,8,1150,1520,185,2.9,60
ZULoc262,ZU-AZ-293,A,AZ,8,1150,1520,185,1.6,10
ZULoc262,ZU-AZ-294,A,AZ,8,1150,1520,185,15.2,400
ZULoc263,ZU-AZ-295,A,AZ,8,1150,1520,185,4.1,80
ZULoc264,ZU-AZ-296,A,AZ,8,1150,1520,185,0.6,5
ZULoc265,ZU-AZ-297,A,AZ,8,1150,1520,370,4.6,20
ZULoc265,ZU-AZ-298,A,AZ,8,1150,1520,370,23.7,500
ZULoc267,ZU-AZ-299,A,AZ,8,1150,1520,185,0.1,
ZULoc3,ZU-AZ-3,A,AZ,8,1150,1520,185,0.4,10
ZULoc29,ZU-AZ-30,A,AZ,8,1150,1520,185,0.6,10
ZULoc268,ZU-AZ-300,A,AZ,8,1150,1520,185,1.4,
ZULoc269,ZU-AZ-301,A,AZ,8,1150,1520,185,1,
ZULoc270,ZU-AZ-302,A,AZ,8,1150,1520,185,0.1,5
ZULoc30,ZU-AZ-31,A,AZ,8,1150,1520,185,1,10
ZULoc31,ZU-AZ-32,A,AZ,8,1150,1520,185,0.7,10
ZULoc32,ZU-AZ-33,A,AZ,8,1150,1520,185,1.3,20
ZULoc33,ZU-AZ-34,A,AZ,8,1150,1520,185,3,30
ZULoc34,ZU-AZ-35,A,AZ,8,1150,1520,185,0.7,10
ZULoc35,ZU-AZ-36,A,AZ,8,1150,1520,185,1.3,10
ZULoc36,ZU-AZ-37,A,AZ,8,1150,1520,185,1.6,40
ZULoc37,ZU-AZ-38,A,AZ,8,1150,1520,185,1.7,30
ZULoc38,ZU-AZ-39,A,AZ,8,1150,1520,185,1.1,20
ZULoc4,ZU-AZ-4,A,AZ,8,1150,1520,185,1.1,20
ZULoc39,ZU-AZ-40,A,AZ,8,1150,1520,185,8.6,170
ZULoc40,ZU-AZ-41,A,AZ,8,1150,1520,185,0.8,10
ZULoc41,ZU-AZ-42,A,AZ,8,1150,1520,185,1.8,40
ZULoc42,ZU-AZ-43,A,AZ,8,1150,1520,185,0.6,5
ZULoc43,ZU-AZ-44,A,AZ,8,1150,1520,185,0.1,5
ZULoc44,ZU-AZ-45,A,AZ,8,1150,1520,185,1.8,40
ZULoc45,ZU-AZ-46,A,AZ,8,1150,1520,370,8.1,160
ZULoc46,ZU-AZ-47,A,AZ,8,1150,1520,185,1,
ZULoc47,ZU-AZ-48,B,AZ,8,1150,1520,185,1.9,20
ZULoc48,ZU-AZ-49,A,AZ,8,1150,1520,185,3.9,40
ZULoc5,ZU-AZ-5,B,AZ,8,1150,1520,370,52.4,1200
ZULoc49,ZU-AZ-50,A,AZ,8,1150,1520,185,2,20
ZULoc50,ZU-AZ-51,A,AZ,8,1150,1520,185,0.5,5
ZULoc51,ZU-AZ-52,A,AZ,8,1150,1520,185,1.4,30
ZULoc52,ZU-AZ-53,A,AZ,8,1150,1520,185,1.3,30
ZULoc53,ZU-AZ-54,A,AZ,8,1150,1520,185,0.1,
ZULoc54,ZU-AZ-55,A,AZ,8,1150,1520,185,2,20
ZULoc55,ZU-AZ-56,A,AZ,8,1150,1520,185,4.5,90
ZULoc56,ZU-AZ-57,A,AZ,8,1150,1520,185,1.5,10
ZULoc57,ZU-AZ-58,A,AZ,8,1150,1520,185,21,600
ZULoc58,ZU-AZ-59,A,AZ,8,1150,1520,185,0.3,5
ZULoc5,ZU-AZ-6,B,AZ,8,1150,1520,370,0.7,10
ZULoc59,ZU-AZ-60,A,AZ,8,1150,1520,370,10.4,210
ZULoc60,ZU-AZ-61,B,AZ,8,1150,1520,185,1.4,10
ZULoc61,ZU-AZ-62,A,AZ,8,1150,1520,185,1.5,10
ZULoc62,ZU-AZ-63,A,AZ,8,1150,1520,185,2.1,40
ZULoc63,ZU-AZ-64,A,AZ,8,1150,1520,185,2.4,20
ZULoc64,ZU-AZ-65,A,AZ,8,1150,1520,185,2.8,60
ZULoc65,ZU-AZ-66,B,AZ,8,1150,1520,185,1.9,30
ZULoc66,ZU-AZ-67,A,AZ,8,1150,1520,185,0.5,5
ZULoc67,ZU-AZ-68,A,AZ,8,1150,1520,370,1.1,20
ZULoc68,ZU-AZ-69,A,AZ,8,1150,1520,185,0.4,10
ZULoc6,ZU-AZ-7,A,AZ,8,1150,1520,185,9.7,200
ZULoc69,ZU-AZ-70,A,AZ,8,1150,1520,185,0.9,20
ZULoc70,ZU-AZ-71,A,AZ,8,1150,1520,370,1.4,30
ZULoc71,ZU-AZ-72,B,AZ,8,1150,1520,370,17.2,340
ZULoc72,ZU-AZ-73,A,AZ,8,1150,1520,185,15.2,300
ZULoc73,ZU-AZ-74,A,AZ,8,1150,1520,370,5.1,50
ZULoc74,ZU-AZ-75,A,AZ,8,1150,1520,185,0.1,5
ZULoc75,ZU-AZ-76,A,AZ,8,1150,1520,370,2.6,30
ZULoc76,ZU-AZ-77,A,AZ,8,1150,1520,185,0.9,30
ZULoc77,ZU-AZ-78,A,AZ,8,1150,1520,185,1.8,40
ZULoc78,ZU-AZ-79,A,AZ,8,1150,1520,370,19.8,800
ZULoc7,ZU-AZ-8,A,AZ,8,1150,1520,370,0.1,5
ZULoc79,ZU-AZ-80,A,AZ,8,1150,1520,185,2.8,60
ZULoc80,ZU-AZ-81,A,AZ,8,1150,1520,370,20.3,400
ZULoc81,ZU-AZ-82,A,AZ,8,1150,1520,370,5.2,100
ZULoc82,ZU-AZ-83,B,AZ,8,1150,1520,370,1.8,20
ZULoc82,ZU-AZ-84,B,AZ,8,1150,1520,370,3.1,60
ZULoc83,ZU-AZ-85,A,AZ,8,1150,1520,370,0.4,10
ZULoc84,ZU-AZ-86,A,AZ,8,1150,1520,185,1,20
ZULoc85,ZU-AZ-87,A,AZ,8,1150,1520,185,8,160
ZULoc86,ZU-AZ-88,A,AZ,8,1150,1520,185,2,40
ZULoc87,ZU-AZ-89,A,AZ,8,1150,1520,185,0.9,10
ZULoc8,ZU-AZ-9,A,AZ,8,1150,1520,185,3.7,70
ZULoc88,ZU-AZ-90,A,AZ,8,1150,1520,185,2,40
ZULoc89,ZU-AZ-91,A,AZ,8,1150,1520,185,0.4,10
ZULoc90,ZU-AZ-92,A,AZ,8,1150,1520,185,1.6,30
ZULoc91,ZU-AZ-93,A,AZ,8,1150,1520,185,0.6,5
ZULoc92,ZU-AZ-94,A,AZ,8,1150,1520,370,2.2,50
ZULoc92,ZU-AZ-95,A,AZ,8,1150,1520,370,2,50
ZULoc93,ZU-AZ-96,A,AZ,8,1150,1520,185,2.7,60
ZULoc92,ZU-AZ-97,A,AZ,8,1150,1520,370,1,20
ZULoc92,ZU-AZ-98,A,AZ,8,1150,1520,370,3,60
ZULoc94,ZU-AZ-99,A,AZ,8,1150,1520,370,15.7,310
ZULoc5,ZU-CL-1,A,CL,5,100,600,250,5.7,55
ZULoc397,ZU-CL-10,A,CL,5,100,600,250,3,35
ZULoc28,ZU-CL-11,A,CL,5,100,600,250,2.4,25
ZULoc416,ZU-CL-12,A,CL,5,100,600,250,0.4,2
ZULoc417,ZU-CL-13,A,CL,5,100,600,250,2.1,20
ZULoc418,ZU-CL-14,A,CL,5,100,600,250,1.2,5
ZULoc398,ZU-CL-15,A,CL,5,100,600,250,2.4,20
ZULoc419,ZU-CL-16,A,CL,5,100,600,250,1.6,15
ZULoc47,ZU-CL-17,A,CL,5,100,600,250,1.1,10
ZULoc420,ZU-CL-18,A,CL,5,100,600,250,0.7,5
ZULoc421,ZU-CL-19,A,CL,5,100,600,250,1,5
ZULoc411,ZU-CL-2,A,CL,5,100,600,250,8.2,130
ZULoc422,ZU-CL-20,A,CL,5,100,600,250,0.5,2
ZULoc399,ZU-CL-21,A,CL,5,100,600,250,4.5,50
ZULoc423,ZU-CL-22,A,CL,5,100,600,250,0.7,10
ZULoc402,ZU-CL-23,A,CL,5,100,600,250,0.7,5
ZULoc424,ZU-CL-24,A,CL,5,100,600,250,0.9,5
ZULoc425,ZU-CL-25,A,CL,5,100,600,250,0.4,5
ZULoc426,ZU-CL-26,A,CL,5,100,600,250,4.4,20
ZULoc60,ZU-CL-27,A,CL,5,100,600,250,1.4,15
ZULoc427,ZU-CL-28,A,CL,5,100,600,250,0.4,2
ZULoc428,ZU-CL-29,A,CL,5,100,600,250,0.2,2
ZULoc412,ZU-CL-3,A,CL,5,100,600,250,5.1,100
ZULoc429,ZU-CL-30,A,CL,5,100,600,250,1.5,5
ZULoc401,ZU-CL-31,A,CL,5,100,600,250,2.4,25
ZULoc65,ZU-CL-32,A,CL,5,100,600,250,3.9,40
ZULoc70,ZU-CL-33,A,CL,5,100,600,250,3.8,40
ZULoc71,ZU-CL-34,A,CL,5,100,600,250,3.5,35
ZULoc306,ZU-CL-35,A,CL,5,100,600,250,1.7,20
ZULoc97,ZU-CL-36,A,CL,5,100,600,250,4,40
ZULoc304,ZU-CL-37,A,CL,5,100,600,250,2.1,25
ZULoc430,ZU-CL-38,A,CL,5,100,600,250,5.3,50
ZULoc82,ZU-CL-39,A,CL,5,100,600,250,0.6,5
ZULoc413,ZU-CL-4,A,CL,5,100,600,250,1.7,30
ZULoc83,ZU-CL-40,A,CL,5,100,600,250,2.8,300
ZULoc431,ZU-CL-41,A,CL,5,100,600,250,0.6,10
ZULoc432,ZU-CL-42,A,CL,5,100,600,250,16.4,350
ZULoc433,ZU-CL-43,A,CL,5,100,600,250,1.5,15
ZULoc434,ZU-CL-44,A,CL,5,100,600,250,0.3,2
ZULoc435,ZU-CL-45,A,CL,5,100,600,250,0.4,5
ZULoc161,ZU-CL-46,A,CL,5,100,600,250,3.9,40
ZULoc170,ZU-CL-47,A,CL,5,100,600,250,2.7,30
ZULoc405,ZU-CL-48,A,CL,5,100,600,250,2.9,15
ZULoc436,ZU-CL-49,A,CL,5,100,600,250,0.3,5
ZULoc414,ZU-CL-5,A,CL,5,100,600,250,3,15
ZULoc467,ZU-CL-50,A,CL,5,100,600,250,0.4,2
ZULoc188,ZU-CL-51,A,CL,5,100,600,250,0.6,2
ZULoc347,ZU-CL-52,A,CL,5,100,600,500,11.8,160
ZULoc107,ZU-CL-53,A,CL,5,100,600,250,8.2,120
ZULoc109,ZU-CL-54,A,CL,5,100,600,250,3.1,15
ZULoc437,ZU-CL-55,A,CL,5,100,600,250,3.4,35
ZULoc438,ZU-CL-56,A,CL,5,100,600,250,0.2,2
ZULoc439,ZU-CL-57,A,CL,5,100,600,250,0.1,2
ZULoc113,ZU-CL-58,A,CL,5,100,600,250,0.5,5
ZULoc404,ZU-CL-59,A,CL,5,100,600,250,1.4,20
ZULoc271,ZU-CL-6,A,CL,5,100,600,250,4.4,70
ZULoc195,ZU-CL-60,A,CL,5,100,600,250,19.5,500
ZULoc440,ZU-CL-61,A,CL,5,100,600,250,5.9,100
ZULoc441,ZU-CL-62,A,CL,5,100,600,250,2.3,25
ZULoc442,ZU-CL-63,A,CL,5,100,600,250,3.9,75
ZULoc406,ZU-CL-64,A,CL,5,100,600,250,2.7,25
ZULoc443,ZU-CL-65,A,CL,5,100,600,250,2.5,25
ZULoc219,ZU-CL-66,A,CL,5,100,600,250,3.6,35
ZULoc407,ZU-CL-67,A,CL,5,100,600,250,1.1,10
ZULoc444,ZU-CL-68,A,CL,5,100,600,250,1.7,20
ZULoc445,ZU-CL-69,A,CL,5,100,600,250,1.3,5
ZULoc17,ZU-CL-7,A,CL,5,100,600,250,3.5,40
ZULoc446,ZU-CL-70,A,CL,5,100,600,250,5.6,60
ZULoc181,ZU-CL-71,A,CL,5,100,600,250,3.1,15
ZULoc447,ZU-CL-72,A,CL,5,100,600,250,2.4,25
ZULoc409,ZU-CL-73,A,CL,5,100,600,250,6.5,60
ZULoc448,ZU-CL-74,A,CL,5,100,600,250,0.8,5
ZULoc449,ZU-CL-75,A,CL,5,100,600,250,1.9,10
ZULoc374,ZU-CL-76,A,CL,5,100,600,250,6.3,60
ZULoc408,ZU-CL-77,A,CL,5,100,600,250,5.5,60
ZULoc450,ZU-CL-78,A,CL,5,100,600,250,0.7,5
ZULoc451,ZU-CL-79,A,CL,5,100,600,250,2.2,10
ZULoc17,ZU-CL-8,A,CL,5,100,600,250,0.5,5
ZULoc410,ZU-CL-80,A,CL,5,100,600,250,3.3,30
ZULoc452,ZU-CL-81,A,CL,5,100,600,250,2.9,30
ZULoc453,ZU-CL-82,A,CL,5,100,600,250,5.3,80
ZULoc223,ZU-CL-83,A,CL,5,100,600,250,10.1,150
ZULoc229,ZU-CL-84,A,CL,5,100,600,250,2,20
ZULoc454,ZU-CL-85,A,CL,5,100,600,250,2.1,20
ZULoc233,ZU-CL-86,A,CL,5,100,600,250,2.3,30
ZULoc455,ZU-CL-87,A,CL,5,100,600,250,2,15
ZULoc456,ZU-CL-88,A,CL,5,100,600,250,0.7,2
ZULoc258,ZU-CL-89,A,CL,5,100,600,250,21,400
ZULoc415,ZU-CL-9,A,CL,5,100,600,250,1.8,10
ZULoc265,ZU-CL-90,A,CL,5,100,600,250,7.6,100
ZULoc9,ZU-ET-1,A,ET,6,600,900,150,10,300
ZULoc401,ZU-ET-10,A,ET,6,600,900,150,2.4,50
ZULoc402,ZU-ET-11,A,ET,6,600,900,150,0.7,10
ZULoc403,ZU-ET-12,A,ET,6,600,900,150,28.6,1500
ZULoc404,ZU-ET-13,A,ET,6,600,900,150,1.4,40
ZULoc107,ZU-ET-14,A,ET,6,600,900,150,6.5,150
ZULoc304,ZU-ET-15,A,ET,6,600,900,300,2.1,40
ZULoc83,ZU-ET-16,A,ET,6,600,900,300,13.4,300
ZULoc347,ZU-ET-17,A,ET,6,600,900,300,3.3,70
ZULoc405,ZU-ET-18,A,ET,6,600,900,150,3.6,40
ZULoc195,ZU-ET-19,A,ET,6,600,900,150,19.5,800
ZULoc271,ZU-ET-2,A,ET,6,600,900,300,4.4,130
ZULoc206,ZU-ET-20,A,ET,6,600,900,150,3.4,70
ZULoc406,ZU-ET-21,A,ET,6,600,900,150,0.8,20
ZULoc475,ZU-ET-22,A,ET,6,600,900,150,1,30
ZULoc223,ZU-ET-23,A,ET,6,600,900,300,3.8,80
ZULoc219,ZU-ET-24,A,ET,6,600,900,150,1.8,40
ZULoc407,ZU-ET-25,A,ET,6,600,900,150,1.1,20
ZULoc408,ZU-ET-26,A,ET,6,600,900,150,5.5,120
ZULoc409,ZU-ET-27,A,ET,6,600,900,150,6.5,130
ZULoc410,ZU-ET-28,A,ET,6,600,900,150,3.3,70
ZULoc396,ZU-ET-29,A,ET,6,600,900,150,7.2,150
ZULoc397,ZU-ET-3,A,ET,6,600,900,150,3,90
ZULoc265,ZU-ET-30,A,ET,6,600,900,300,10.4,300
ZULoc70,ZU-ET-4,A,ET,6,600,900,300,0.5,20
ZULoc398,ZU-ET-5,A,ET,6,600,900,150,2.4,50
ZULoc47,ZU-ET-6,A,ET,6,600,900,150,1.1,20
ZULoc399,ZU-ET-7,A,ET,6,600,900,150,4.5,150
ZULoc400,ZU-ET-8,A,ET,6,600,900,150,0.3,5
ZULoc65,ZU-ET-9,A,ET,6,600,900,150,3.9,80
ZULoc468,ZU-LF-1,A,LF,3,-400,-200,100,3,30
ZULoc271,ZU-LT-1,A,LT,7,900,1150,125,6.4,130
ZULoc276,ZU-LT-10,A,LT,7,900,1150,125,1.4,30
ZULoc150,ZU-LT-100,A,LT,7,900,1150,125,1.5,30
ZULoc124,ZU-LT-101,A,LT,7,900,1150,125,0.4,5
ZULoc144,ZU-LT-102,A,LT,7,900,1150,125,0.9,20
ZULoc145,ZU-LT-103,A,LT,7,900,1150,125,8.6,170
ZULoc125,ZU-LT-104,A,LT,7,900,1150,125,5.6,120
ZULoc125,ZU-LT-105,A,LT,7,900,1150,125,0.6,10
ZULoc334,ZU-LT-106,A,LT,7,900,1150,125,0.1,5
ZULoc125,ZU-LT-107,A,LT,7,900,1150,125,2.1,40
ZULoc129,ZU-LT-108,A,LT,7,900,1150,125,0.1,5
ZULoc129,ZU-LT-109,A,LT,7,900,1150,125,1,30
ZULoc277,ZU-LT-11,A,LT,7,900,1150,125,0.4,10
ZULoc129,ZU-LT-110,A,LT,7,900,1150,125,1,30
ZULoc128,ZU-LT-111,A,LT,7,900,1150,125,1.9,20
ZULoc335,ZU-LT-112,A,LT,7,900,1150,125,0.8,10
ZULoc336,ZU-LT-113,A,LT,7,900,1150,125,0.5,10
ZULoc337,ZU-LT-114,A,LT,7,900,1150,125,1.5,20
ZULoc338,ZU-LT-115,A,LT,7,900,1150,125,1.2,30
ZULoc339,ZU-LT-116,A,LT,7,900,1150,125,4,100
ZULoc340,ZU-LT-117,A,LT,7,900,1150,125,2.1,40
ZULoc137,ZU-LT-118,A,LT,7,900,1150,125,4.3,90
ZULoc138,ZU-LT-119,A,LT,7,900,1150,125,4.3,90
ZULoc278,ZU-LT-12,A,LT,7,900,1150,125,0.4,10
ZULoc161,ZU-LT-120,B,LT,7,900,1150,125,0.2,5
ZULoc161,ZU-LT-121,B,LT,7,900,1150,125,3.5,70
ZULoc169,ZU-LT-122,A,LT,7,900,1150,125,1.9,40
ZULoc161,ZU-LT-123,B,LT,7,900,1150,125,0.5,10
ZULoc161,ZU-LT-124,B,LT,7,900,1150,125,0.1,5
ZULoc342,ZU-LT-125,A,LT,7,900,1150,125,0.1,5
ZULoc343,ZU-LT-126,A,LT,7,900,1150,125,0.7,10
ZULoc344,ZU-LT-127,A,LT,7,900,1150,125,1,20
ZULoc345,ZU-LT-128,A,LT,7,900,1150,125,0.9,20
ZULoc170,ZU-LT-129,B,LT,7,900,1150,125,7.3,70
ZULoc279,ZU-LT-13,A,LT,7,900,1150,125,0.1,5
ZULoc159,ZU-LT-130,A,LT,7,900,1150,125,0.1,5
ZULoc159,ZU-LT-131,A,LT,7,900,1150,125,0.1,5
ZULoc346,ZU-LT-132,A,LT,7,900,1150,125,1.1,20
ZULoc347,ZU-LT-133,A,LT,7,900,1150,125,10.3,210
ZULoc114,ZU-LT-134,A,LT,7,900,1150,125,4.1,160
ZULoc198,ZU-LT-135,A,LT,7,900,1150,125,34.5,1200
ZULoc202,ZU-LT-136,A,LT,7,900,1150,125,1.1,20
ZULoc203,ZU-LT-137,A,LT,7,900,1150,125,1.4,20
ZULoc348,ZU-LT-138,A,LT,7,900,1150,125,1.7,30
ZULoc205,ZU-LT-139,A,LT,7,900,1150,125,1.5,30
ZULoc280,ZU-LT-14,A,LT,7,900,1150,125,0.4,5
ZULoc205,ZU-LT-140,A,LT,7,900,1150,125,2.6,50
ZULoc205,ZU-LT-141,A,LT,7,900,1150,125,1.4,20
ZULoc205,ZU-LT-142,A,LT,7,900,1150,125,2,20
ZULoc349,ZU-LT-143,A,LT,7,900,1150,125,1.7,30
ZULoc350,ZU-LT-144,A,LT,7,900,1150,125,0.4,10
ZULoc351,ZU-LT-145,A,LT,7,900,1150,125,1.1,30
ZULoc352,ZU-LT-146,A,LT,7,900,1150,125,1.1,10
ZULoc353,ZU-LT-147,A,LT,7,900,1150,125,0.8,20
ZULoc354,ZU-LT-148,A,LT,7,900,1150,125,0.5,5
ZULoc193,ZU-LT-149,A,LT,7,900,1150,125,0.1,
ZULoc281,ZU-LT-15,A,LT,7,900,1150,125,0.9,20
ZULoc191,ZU-LT-150,A,LT,7,900,1150,125,0.5,10
ZULoc355,ZU-LT-151,A,LT,7,900,1150,125,3.6,70
ZULoc356,ZU-LT-152,A,LT,7,900,1150,125,1.3,40
ZULoc215,ZU-LT-153,A,LT,7,900,1150,125,0.1,5
ZULoc357,ZU-LT-154,A,LT,7,900,1150,125,0.4,5
ZULoc358,ZU-LT-155,A,LT,7,900,1150,125,0.7,20
ZULoc359,ZU-LT-156,A,LT,7,900,1150,125,4.1,100
ZULoc360,ZU-LT-157,A,LT,7,900,1150,125,5,100
ZULoc361,ZU-LT-158,A,LT,7,900,1150,125,0.3,5
ZULoc362,ZU-LT-159,A,LT,7,900,1150,125,1,10
ZULoc282,ZU-LT-16,A,LT,7,900,1150,125,1.5,40
ZULoc363,ZU-LT-160,A,LT,7,900,1150,125,1.2,10
ZULoc364,ZU-LT-161,A,LT,7,900,1150,125,0.8,5
ZULoc365,ZU-LT-162,A,LT,7,900,1150,125,0.8,20
ZULoc222,ZU-LT-163,A,LT,7,900,1150,125,2.3,50
ZULoc366,ZU-LT-164,A,LT,7,900,1150,125,0.7,10
ZULoc367,ZU-LT-165,A,LT,7,900,1150,125,2.9,30
ZULoc225,ZU-LT-166,A,LT,7,900,1150,125,1.9,20
ZULoc225,ZU-LT-167,A,LT,7,900,1150,125,1.1,10
ZULoc368,ZU-LT-168,A,LT,7,900,1150,125,0.8,10
ZULoc369,ZU-LT-169,A,LT,7,900,1150,125,5.9,120
ZULoc283,ZU-LT-17,A,LT,7,900,1150,125,5.4,160
ZULoc370,ZU-LT-170,A,LT,7,900,1150,125,0.6,5
ZULoc371,ZU-LT-171,A,LT,7,900,1150,125,0.8,10
ZULoc372,ZU-LT-172,A,LT,7,900,1150,125,1.1,10
ZULoc373,ZU-LT-173,A,LT,7,900,1150,125,1.3,10
ZULoc374,ZU-LT-174,B,LT,7,900,1150,125,8.9,180
ZULoc375,ZU-LT-175,A,LT,7,900,1150,125,2.1,20
ZULoc376,ZU-LT-176,B,LT,7,900,1150,125,16.8,340
ZULoc377,ZU-LT-177,A,LT,7,900,1150,125,2.1,40
ZULoc378,ZU-LT-178,A,LT,7,900,1150,125,1.4,40
ZULoc379,ZU-LT-179,A,LT,7,900,1150,125,1,20
ZULoc284,ZU-LT-18,A,LT,7,900,1150,125,2.5,50
ZULoc379,ZU-LT-180,A,LT,7,900,1150,125,6.5,130
ZULoc379,ZU-LT-181,A,LT,7,900,1150,125,3,60
ZULoc379,ZU-LT-182,A,LT,7,900,1150,125,0.3,10
ZULoc379,ZU-LT-183,A,LT,7,900,1150,125,0.6,10
ZULoc380,ZU-LT-184,A,LT,7,900,1150,125,0.5,5
ZULoc381,ZU-LT-185,A,LT,7,900,1150,125,1.5,30
ZULoc382,ZU-LT-186,A,LT,7,900,1150,125,0.6,5
ZULoc383,ZU-LT-187,A,LT,7,900,1150,125,0.9,20
ZULoc384,ZU-LT-188,A,LT,7,900,1150,125,1.1,20
ZULoc385,ZU-LT-189,A,LT,7,900,1150,125,1.1,20
ZULoc285,ZU-LT-19,A,LT,7,900,1150,125,1.6,30
ZULoc386,ZU-LT-190,A,LT,7,900,1150,125,0.6,10
ZULoc387,ZU-LT-191,A,LT,7,900,1150,125,8.5,170
ZULoc388,ZU-LT-192,A,LT,7,900,1150,125,12,240
ZULoc235,ZU-LT-193,A,LT,7,900,1150,125,1.6,30
