Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
495,SVP-CAY-54,A,Cayhuamarca,2,-1800,-500,433.3333333,0.25,15
495,SVP-ETAN-232,B,Early Tanguche,7,750,900,50,1.5,75
498,SVP-VIN-35,A,Vinzos,3,-500,-100,133.3333333,1,50
500,SVP-GUAD-91,A,Guadalupito,6,300,750,150,1.8,90
500,SVP-LTR-37,B,Late Tambo Real,10,1470,1532,20.66666667,1.6,80
503,SVP-ETAN-358,A,Early Tanguche,7,750,900,50,0.75,40
504,SVP-ETAN-230,A,Early Tanguche,7,750,900,50,0.5,25
505,SVP-ESUCH-124,A,Early Suchimancillo,4,-100,100,66.66666667,0.25,25
505,SVP-GUAD-122,B,Guadalupito,6,300,750,150,1.6,160
505,SVP-ETR-32,C,Early Tambo Real,9,1100,1470,123.3333333,0.25,5
506,SVP-LTR-43,A,Late Tambo Real,10,1470,1532,20.66666667,0.9,90
507,SVP-LTR-42,A,Late Tambo Real,10,1470,1532,20.66666667,2.25,110
508,SVP-GUAD-89,A,Guadalupito,6,300,750,150,3.2,320
509,SVP-LTR-30,A,Late Tambo Real,10,1470,1532,20.66666667,9,900
510,SVP-GUAD-32,A,Guadalupito,6,300,750,150,2,200
511,SVP-ETAN-231,A,Early Tanguche,7,750,900,50,1,50
512,SVP-GUAD-123,A,Guadalupito,6,300,750,150,1.8,180
514,SVP-LTR-28,A,Late Tambo Real,10,1470,1532,20.66666667,0.5,25
515,SVP-CAY-44,A,Cayhuamarca,2,-1800,-500,433.3333333,2.5,250
515,SVP-CAY-47,A,Cayhuamarca,2,-1800,-500,433.3333333,1.25,125
515,SVP-VIN-29,A,Vinzos,3,-500,-100,400,2.5,250
515,SVP-ESUCH-111,A,Early Suchimancillo,4,-100,100,200,3,45
515,SVP-LSUCH-133,A,Late Suchimancillo,5,100,500,133.3333333,1.1,15
516,SVP-CAY-45,A,Cayhuamarca,2,-1800,-500,433.3333333,0.75,75
519,SVP-ETAN-235,A,Early Tanguche,7,750,900,50,1.5,75
520,SVP-ETR-31,A,Early Tambo Real,9,1100,1470,123.3333333,3.2,320
520,SVP-LTR-45,A,Late Tambo Real,10,1470,1532,20.66666667,2.9,290
521,SVP-ETAN-91,A,Early Tanguche,7,750,900,50,2.5,250
522,SVP-ETAN-272,A,Early Tanguche,7,750,900,50,0.5,5
523,SVP-ESUCH-108,A,Early Suchimancillo,4,-100,100,66.66666667,1.6,160
523,SVP-LSUCH-131,A,Late Suchimancillo,5,100,500,133.3333333,1.6,160
524,SVP-ESUCH-95,A,Early Suchimancillo,4,-100,100,66.66666667,4.5,225
525,SVP-LTAN-55,A,Late Tanguche,8,900,1100,66.66666667,1,50
526,SVP-ETAN-236,A,Early Tanguche,7,750,900,50,0.5,50
527,SVP-ETAN-188,A,Early Tanguche,7,750,900,50,1.4,75
530,SVP-GUAD-71,A,Guadalupito,6,300,750,150,0.25,25
533,SVP-LTR-10,A,Late Tambo Real,10,1470,1532,20.66666667,2,200
534,SVP-ETAN-237,A,Early Tanguche,7,750,900,50,0.25,15
535,SVP-GUAD-128,A,Guadalupito,6,300,750,150,1.8,180
537,SVP-GUAD-72,A,Guadalupito,6,300,750,150,0.9,45
538,SVP-ETAN-107,A,Early Tanguche,7,750,900,50,3.6,55
539,SVP-GUAD-187,A,Guadalupito,6,300,750,150,0.8,80
540,SVP-LTR-26,A,Late Tambo Real,10,1470,1532,20.66666667,16.5,1650
541,SVP-CAY-43,A,Cayhuamarca,2,-1800,-500,433.3333333,0.5,25
542,SVP-ETAN-90,A,Early Tanguche,7,750,900,50,1.4,140
543,SVP-ESUCH-94,A,Early Suchimancillo,4,-100,100,66.66666667,2.25,110
543,SVP-ETAN-81,B,Early Tanguche,7,750,900,50,1.6,80
545,SVP-ETAN-238,A,Early Tanguche,7,750,900,50,1,50
546,SVP-GUAD-52,A,Guadalupito,6,300,750,150,1.8,90
547,SVP-LTAN-40,A,Late Tanguche,8,900,1100,66.66666667,14.2,3550
552,SVP-GUAD-121,A,Guadalupito,6,300,750,150,6.5,600
553,SVP-CAY-42,A,Cayhuamarca,2,-1800,-500,433.3333333,1,50
555,SVP-GUAD-25,A,Guadalupito,6,300,750,150,0.5,10
557,SVP-GUAD-178,A,Guadalupito,6,300,750,150,3.6,360
559,SVP-ETAN-150,A,Early Tanguche,7,750,900,50,1.1,110
560,SVP-ETAN-149,A,Early Tanguche,7,750,900,50,0.5,50
561,SVP-ETAN-108,A,Early Tanguche,7,750,900,50,1,15
562,SVP-GUAD-51,A,Guadalupito,6,300,750,150,0.5,50
563,SVP-LSUCH-128,A,Late Suchimancillo,5,100,500,133.3333333,1.4,20
564,SVP-LSUCH-123,A,Late Suchimancillo,5,100,500,133.3333333,4.3,65
566,SVP-LSUCH-117,A,Late Suchimancillo,5,100,500,133.3333333,1.8,180
566,SVP-GUAD-22,A,Guadalupito,6,300,750,250,3.2,50
566,SVP-ETAN-84,A,Early Tanguche,7,750,900,50,4.5,1125
567,SVP-ETAN-191,A,Early Tanguche,7,750,900,50,1,100
569,SVP-ETAN-80,A,Early Tanguche,7,750,900,50,9,135
570,SVP-GUAD-179,A,Guadalupito,6,300,750,150,2.8,280
571,SVP-GUAD-177,A,Guadalupito,6,300,750,150,1.6,160
572,SVP-ETAN-116,A,Early Tanguche,7,750,900,50,10.4,155
573,SVP-GUAD-47,A,Guadalupito,6,300,750,150,4.3,215
574,SVP-LSUCH-122,A,Late Suchimancillo,5,100,500,133.3333333,1.6,25
574,SVP-GUAD-46,A,Guadalupito,6,300,750,150,4.3,215
576,SVP-GUAD-203,A,Guadalupito,6,300,750,150,1.5,150
578,SVP-ETAN-102,A,Early Tanguche,7,750,900,50,2.5,125
579,SVP-GUAD-176,A,Guadalupito,6,300,750,150,3.2,320
580,SVP-ETAN-357,A,Early Tanguche,7,750,900,50,1.25,15
582,SVP-ESUCH-91,A,Early Suchimancillo,4,-100,100,66.66666667,4.2,460
582,SVP-LSUCH-114,A,Late Suchimancillo,5,100,500,133.3333333,5.9,590
